image_embedding,reference_embedding
"[-2.4885273207674787, -0.8841082260337851]","[0.6707495563178179, -1.0728642231494405]"
"[0.4400252266737631, 2.3784240936146928]","[-2.2490251316334726, -0.5286080192270731]"
"[-1.0945772334027326, 1.8258495085565836]","[-0.628081056250588, -1.7835604608467597]"
"[3.1549187954352123, -0.4618699101998896]","[0.17710951061413743, 2.111090834136859]"
"[0.9975493580949941, 0.3492199541998877]","[-1.410879079582365, 0.30733316738218897]"
"[-1.9790422230914633, 0.14019222860028266]","[-1.196584906133409, -1.1512993554786601]"
"[1.0932043486828493, 0.35284772236344525]","[-0.896520400737122, -0.015708798373589575]"
"[-0.5776452325355692, -1.8357769286224548]","[-1.195071218956164, -0.11547019317211163]"
"[1.8677547796627103, -2.330232485412587]","[-0.4169553566269278, 1.4751442855221295]"
"[-0.6748267308061824, 1.6846210945296163]","[1.1859292954613492, -0.27997224401409443]"
"[0.9281679598231768, 0.2364810001370792]","[-0.4422466488358433, 0.11082390903964955]"
"[-2.683096383658377, -0.9390389700022616]","[-1.3162918418114884, -1.4447551182900682]"
"[1.9013926384051294, 2.033152215103784]","[-0.33090459422831847, -1.1707023872027063]"
"[2.302278951378224, 0.8117205631898615]","[1.3688485225997626, -0.13792757574197473]"
"[-1.15810690327981, 1.0330773466141072]","[-0.13286579452934158, -0.41712700781332135]"
"[1.7352505881525742, -0.38602000682391097]","[1.8813536435627825, 0.8241576825043949]"
"[-0.032660214516913526, -2.1321309545394893]","[-1.6957717352798183, -0.17410044187439708]"
"[-0.7629458014051285, 1.677912745757899]","[-0.2033451581965692, -0.4023842573794624]"
"[-1.9367636087172615, -0.8594287928497776]","[-1.4234933808160424, -0.3334587624555123]"
"[-0.48925954882069106, 2.470545975665844]","[-0.24693546075278067, -1.2174833479438305]"
"[1.1555713062847683, -1.296439463834336]","[-2.311764465111434, 0.10694564641913389]"
"[-1.2564707613936752, -0.569296709430792]","[0.42790002081025846, 0.1769907084027177]"
"[-1.2020015792808636, 1.0073557507652202]","[-0.9488867733145621, -1.277082543240273]"
"[3.398656486221407, 1.3726634691751176]","[-0.14454912636707493, 1.313524382587254]"
"[0.669137124686387, 2.116793088910938]","[-0.600887440236519, -0.0933100511234319]"
"[-0.6638981252765301, -2.1692781454134122]","[1.5930306807785006, -0.4698497316775979]"
"[-1.6604266995996302, -1.9926444515674755]","[1.0823722766115838, 0.3822971462860312]"
"[0.371961761059421, -1.0177133010923887]","[-1.2077547864551736, 0.07078450017487968]"
"[-1.7056945335821514, 1.2337717600754332]","[1.8135970724491246, -0.9998617778528055]"
"[-0.5946353689029263, 2.495945447037235]","[0.43685077064908245, -1.2323254130006276]"
"[-0.6870653515996397, 0.4521514145966828]","[-0.9733719968185724, -1.3620911649469292]"
"[-0.5740289726384443, -2.4190108555168583]","[0.42509194496645225, -0.6172872781496119]"
"[1.4774473185205266, -0.9801153121044104]","[0.6515362838516611, 0.7379782145663255]"
"[-2.7503892362040188, -1.1584300038287036]","[0.7049133736270625, 0.14117075224814649]"
"[-1.2863901466768615, 0.10643565416845571]","[0.4495479040917313, -0.43118903458863045]"
"[-2.7484996611670582, -1.1870272204833772]","[0.9482072180065212, -0.46581396697655586]"
"[-1.2024612455931276, 2.6622989135507074]","[-0.12627612897206283, -1.12040455570409]"
"[-2.1613134863490857, 0.4317316009248286]","[0.6390012623896841, -0.38433631647636846]"
"[-1.3200029060321736, 1.4869542559870503]","[2.294982250244784, -1.091709440741119]"
"[-0.6419130735645097, -0.024088582936178597]","[-1.8354304603729041, -0.3755648522559978]"
"[-1.344886352709045, -2.1950127195840334]","[1.2868988032283144, -0.2036369792189971]"
"[0.0410757121265115, -0.8990857992467648]","[0.41544620658797615, 0.46573669352530833]"
"[-0.7100115827231321, -1.8047040938359684]","[-0.057679573264932525, -0.7196489104933482]"
"[0.8354273585029487, 1.3246918802671421]","[-0.08218499601106379, -0.06683426918014464]"
"[-0.12286568928249661, -0.1104210881255058]","[-0.15811895018517094, -0.45095249873412996]"
"[1.1175369539577658, 0.2631414918976412]","[0.19231595443965294, 0.49475691071336814]"
"[0.08462115771806229, -1.1270264800977736]","[0.630402714963501, -0.3342360353171563]"
"[-0.08704162247320396, -2.180933980603614]","[0.42078053278044897, 0.6697628195013308]"
"[-2.043462134543422, 1.2707311317010757]","[0.18747654103180816, -0.4775159110526028]"
"[-1.4881226016664904, -1.3965400508126056]","[-0.4493267593996923, -0.13305163214876176]"
"[-1.7219169783661916, 0.5908677184108404]","[-2.02990756809885, -0.46342475345869366]"
"[3.4026727558255083, -0.10613412694095373]","[-1.6333063507445489, 0.8783815005963914]"
"[-0.3381693976305756, 0.3947399388989062]","[-1.6325443717279473, 0.335733026629888]"
"[-0.17305371811094475, 1.0680611249182148]","[0.5797383655886246, 0.8220173225007991]"
"[1.7794937265864899, 2.4758614874883405]","[-0.48063582531395704, 0.334842094075145]"
"[-2.1707371988132325, 1.1994659416380047]","[-0.7034212454632337, -1.1468088644969223]"
"[-1.8583377176243394, 0.09714702513049807]","[1.7395984536090174, -0.8987832055976308]"
"[0.32085838608420353, -1.2801599348304016]","[-0.2149494248724535, 0.5645279158600196]"
"[3.349879738551248, 0.0820872202088586]","[0.18689905816261074, 1.4549201468983302]"
"[-0.08157763934532876, 1.5509105936245486]","[-2.2621157008563215, 0.3146426401137023]"
"[-0.9614484045881716, 2.723848513054369]","[-0.024859568357940665, -1.622676955985568]"
"[-1.231364176477629, 0.5125829772642098]","[0.7776508952709521, -0.18428153575822523]"
"[-2.6109682371601455, -1.069652548393121]","[1.3904237811003461, -1.3761543974174937]"
"[2.489456463945938, 1.7556524425089017]","[-0.023175762308341452, 0.19010949175918743]"
"[1.1094597068176704, -1.530313435235289]","[0.5398723073878802, 0.600786973169032]"
"[1.7612655224982283, 2.098992036476347]","[-0.741645529428828, -0.9355347401626076]"
"[-0.6386283450496029, 3.2289440277380796]","[-0.16640547013844342, -0.9102223407411383]"
"[-0.23091474920185567, -0.23236947314443432]","[1.7389828523664324, 0.9796491056392772]"
"[2.3013138178255015, -1.898247534618911]","[0.7736153462956082, 2.887915067695292]"
"[1.719671922695405, -1.4493518373826095]","[0.710579871476552, 0.5455579842930464]"
"[3.9134775146328904, -1.1773963523916933]","[-0.15730648599541183, 3.3444425373627977]"
"[-0.682456231362976, 0.09727350834181345]","[-1.0291762942045801, -0.32154463088590207]"
"[-2.6273208872031195, -0.2625500972395721]","[-0.943779352637187, -0.755086271064811]"
"[2.677469546213467, -0.23068201357197787]","[-0.3030321165337932, 0.14007359657238846]"
"[0.5536492717790779, 1.393748850042623]","[0.6615184852961974, -0.5085612509285424]"
"[0.8152789118017321, 2.077313366025005]","[-2.7032615696575397, -0.9764268120957509]"
"[0.5674687457837976, 1.5310094147299087]","[0.6060318212081947, -0.014950265280538874]"
"[-1.2906245551278224, -0.7308753985770683]","[3.1887418693868246, -0.31682546520325444]"
"[-1.536943437879491, 0.09469747754435645]","[0.567195964993949, -0.6753083603749513]"
"[-1.8005590752971192, -3.346820267233807]","[-0.9525611195768368, 0.7953886797873769]"
"[-2.622219375947875, -0.997884641662728]","[0.6236248940614981, -0.8700562997942576]"
"[-1.7062120288441174, 1.4662918976118324]","[0.06918340608103779, -1.3772958581482455]"
"[-1.109564343461422, -2.4287318195797694]","[0.1274831183814473, -0.5110302529280825]"
"[-1.8923354154959762, 0.9985562618879349]","[0.9057568506391516, -1.3149992872295024]"
"[-0.26596058518818577, -0.9022174290742593]","[0.2102555316362735, -0.5674435981026995]"
"[3.8162009830667225, 1.3185153210453315]","[-0.12204314189681151, 1.5468108300779415]"
"[0.6550681756768977, -2.8765246495584456]","[-0.8628143579392119, 0.6634693364692298]"
"[-2.1630276347547706, -2.433082394711277]","[0.3616211236763595, 0.951096913993109]"
"[-0.645157521863264, -1.0393081457509286]","[2.0392802779256067, 0.6186162056492476]"
"[0.788377641994543, -1.948436088395713]","[0.14428821942328846, 0.8082739340200886]"
"[-0.3634092630516078, -1.1759985984409533]","[0.8501583251828713, -0.5340956489339934]"
"[-0.893042839459549, -0.0302880798706212]","[1.0600499607724942, -1.3206857154013805]"
"[3.796324147391297, -0.28719535205491553]","[-0.29813671205018494, 1.254260272764949]"
"[2.676435279638003, -0.6148782406583264]","[0.5717295725029139, 2.8691183586495907]"
"[0.7714250062168783, 0.4636871759026453]","[0.1358066817856971, 0.3958618708921284]"
"[-0.9700812058987704, -2.045847944866744]","[-1.3418748061306531, 0.6650321270020363]"
"[0.31253291255226645, 2.925802775522859]","[0.10217160074209512, -1.213285965395869]"
"[-1.9222104576006918, 1.7003751584447127]","[-0.2632795108579068, 0.8466542918496823]"
"[2.7223272232228557, 0.9268362435162476]","[-0.11637050282046693, 0.9510372183494152]"
"[0.48057210647748183, -0.022849389035947087]","[-0.5182120360571135, 0.7874613956235927]"
"[-0.17449742493695483, -0.7400575174797404]","[0.9542991920807863, -0.02473631824819733]"
"[-1.4741058546178727, 2.3949777821787417]","[0.20021228330157906, -1.1941516123894016]"
"[-0.1908657558998953, 2.7668572222477836]","[0.011853326443706897, -1.604292842655347]"
"[-2.9961732648497983, 0.4386141764202911]","[0.1818315371077057, -1.1573386705782212]"
"[-1.9990789337397044, 1.6440028575334054]","[0.6579305172629538, -0.17360031672154475]"
"[2.939722065610551, -0.44106075914564785]","[0.7674764692128818, 1.116362420184059]"
"[-1.8681404251760065, 0.5094943461233985]","[0.8267828858182978, -1.617232771344336]"
"[2.6531692806872416, -1.3361451580485129]","[-1.1441284911517706, 1.7297859824476116]"
"[0.5009766853060335, 0.5686053940843281]","[1.2141781259012596, 0.6864813560350062]"
"[0.06980309595526032, -0.49851786101161294]","[1.3396934565917586, 0.10668558059851084]"
"[1.2000672032490485, 1.1232020722523206]","[-0.4188924587319695, -0.18761036073376186]"
"[3.817566670879111, 0.7608250504755206]","[-1.8934223135834853, 1.3862488315618864]"
"[2.4977889328525746, -0.514205322362097]","[1.0506314171186, 1.3913846594190202]"
"[-1.647916196428035, -2.1435417928575102]","[1.0059358264205414, -0.5762496982368394]"
"[-2.0376080742078178, 0.7745328509856007]","[1.7218359968455466, -1.0813691979526103]"
"[2.732699812696988, 1.3560654779218841]","[2.112762249614182, -0.25830628781555914]"
"[-1.3514979339647186, -1.5862068639102835]","[0.517153421212862, -0.6488056135194401]"
"[1.0750763383386739, 2.4851940143929236]","[0.1724879093282463, -0.0012031880745803933]"
"[-1.0739880146529746, -1.6716622998301542]","[-0.9162400089062711, -0.010789227459495395]"
"[-0.09771644379733602, -1.0862089617937711]","[0.9942120838739169, -0.29561729243249946]"
"[0.2192095321043642, -2.1480174145267577]","[0.17654059924428736, 0.4894018851327625]"
"[-1.3602836930909703, -2.5574062748634705]","[0.6392991323671953, 0.1217817401909579]"
"[0.7565473349725061, -0.8123742330876196]","[-0.011259626950461399, 0.1337735197627486]"
"[-3.0220715190960252, -0.8960795192040285]","[0.8000122274990261, -0.8078245707593075]"
"[-2.855713988035406, -0.8659624338231373]","[0.5741772785980291, -0.6924342859713519]"
"[-0.9976721343854009, -0.9923532676660302]","[0.24323336981555468, -0.3906777582242051]"
"[-0.34985265625087414, 1.0574653331052466]","[-1.3416757115657068, -1.3271182351098731]"
"[1.3795208000545145, -1.588623528245152]","[0.8512209729774292, 1.5391368660210396]"
"[-0.8050047547882664, 1.4744854241055891]","[-0.1666926777538301, -0.8309672100401344]"
"[-2.3152773996958076, -1.4956687988402795]","[1.4504889915357388, -0.6560793518327961]"
"[-1.5171601766302067, -1.9222692046104919]","[0.5383243961764888, -0.6073845788801714]"
"[0.5846259819367642, 1.4870473241175886]","[-0.7245319910314925, -0.803883939859711]"
"[2.1227973589193594, -1.137320117219572]","[-0.18690044731097777, 1.2913031992659407]"
"[2.7363482608160554, -0.04732092360806587]","[-1.0982185623494505, 0.3261020250426251]"
"[-2.537813869837857, -1.200543534605497]","[0.7622385495777146, -0.0765959673557387]"
"[-0.6303761011394292, -2.402583662436283]","[1.8287028065717104, 1.0656093351576048]"
"[-2.7212350835452623, -1.5348454986045434]","[-0.4132993026776604, -0.4820312788821338]"
"[-2.154282051804029, 0.26148993417975985]","[2.023406035385045, -1.1084012681309359]"
"[3.515969839934918, -0.17207087168624188]","[-0.8444408024993785, 1.1676856650395389]"
"[2.1264839955389676, -1.1216437199808524]","[-0.15575099120038016, 0.4304576847384908]"
"[-0.3119883702903012, 1.5867519666768426]","[-1.137265921174074, -0.593299834003244]"
"[-0.483681028808515, 1.828985694345924]","[-1.5428875314491886, -0.8669580639722151]"
"[1.1919291935217022, -1.9715461023470664]","[1.0211180742205115, 0.8657002042527043]"
"[0.267501584623705, -3.1312350188425597]","[1.0995213097876937, 0.8280088323606962]"
"[-0.20307188287389974, 2.4151304778419314]","[0.9106492577359964, -1.0996139136262597]"
"[3.5102324229346142, -1.1747157212650112]","[1.3092546391134678, 3.1125569683937715]"
"[-0.6715433513948538, 1.6996076223224523]","[-2.623554165642765, -1.2776371801135884]"
"[-2.7859022408739196, -0.22361623621224982]","[2.625395070109137, 0.04059378163975442]"
"[-0.4028207922380134, 2.8873010251275355]","[-2.0863904147692103, -1.496385321773135]"
"[-0.8221153232173247, 0.029654425601386855]","[-0.86140555313981, -0.17558902365875328]"
"[-0.2541765668518343, -1.2247932732022295]","[-0.10159124380127138, 0.9876730421744663]"
"[2.2001952502722344, 1.6120531435726857]","[-0.7220665993249058, -0.24096698474363898]"
"[-1.152175217752892, -1.5646788610273694]","[-1.510039394031029, -0.49113063372404364]"
"[1.721833226528196, -1.4273982166773413]","[-2.3872158947231945, 0.9158826134400951]"
"[0.6769928600875348, -1.8086224312870285]","[0.6076952206267492, 0.5855930654922842]"
"[1.0756913884957235, -0.8573473138062747]","[-1.3898380378058024, 0.5087274346528192]"
"[-0.38612162141349826, -2.5048860252240486]","[-0.057296157401713205, 0.6684784180445595]"
"[-0.20603223982587016, -2.3727811131670893]","[0.4813806594199644, -0.15993287107883317]"
"[-0.6097383329108713, -3.0824392143618304]","[0.9061543541986994, -0.3098987104800605]"
"[-0.46516275794052325, -0.019560776700147626]","[-2.4720932107802773, -0.5098906119651364]"
"[0.8998570277223701, 3.9737865097047647]","[1.187142188171206, -0.5925876204971917]"
"[0.4634253579705754, 1.5362951449143862]","[1.7125161784191751, 0.0065569408705848835]"
"[1.5702829701856234, -1.3508495048587839]","[0.6895155059393768, 1.7512283517919294]"
"[-2.2280943534217075, -0.046560267981708994]","[-1.1214407943846887, -0.9187642103363315]"
"[-1.8566228892418126, 0.5180488909132724]","[-0.330813398970947, -0.4532863007287766]"
"[-0.8440149051624183, 0.9609909223876036]","[-1.9933218791476819, -0.9517972169713481]"
"[-1.2024614775222873, -0.30519603456017497]","[-0.8232518955718062, -1.0698347125957173]"
"[1.9341243626555904, 1.0168565611000422]","[-0.8874118847775847, 0.27031429252478834]"
"[1.083245487837184, 0.7315645696839489]","[0.15973816637992172, 1.5513890137437025]"
"[2.6214010662243123, -0.8923912170709286]","[0.573786317632833, 2.176614597910234]"
"[3.634250640702633, -0.6994953925045195]","[1.772880180323099, 2.7905673934468833]"
"[0.3088756374476592, 0.5072535610774365]","[1.0319041067546078, -0.5598512157208744]"
"[3.586803837828116, -0.8251664676620523]","[-0.9738947089623705, 2.014704607225189]"
"[3.558131420322151, 0.6052176808954872]","[-1.49251468332545, 1.0816594256297225]"
"[-1.1832650700768772, -0.33342963522065]","[-3.110006955107738, -1.557498906698266]"
"[2.3733996477915587, -0.7902376326948872]","[-0.9871996153101676, 2.1334844064994773]"
"[3.484458321439801, -0.26209503223213637]","[-0.22304847630997995, 0.6394879774942526]"
"[1.9944579432179643, 0.6760175097169987]","[0.17154334177883448, 0.7265243714313316]"
"[1.9559852893850236, -1.544674387407861]","[-1.028912235709088, 0.9557377487848874]"
"[-0.6596253188328192, 3.3407052134569217]","[0.3201910996957579, -1.5225467995181747]"
"[1.875523525462931, -1.8490138650865908]","[1.5074979096209882, 1.0873720635401583]"
"[0.6437544695645543, -3.5590775788076465]","[1.2453537183292347, -0.034449944530674334]"
"[-1.3799846975315562, -0.973141987361647]","[0.5547012884007914, 0.023637101769216778]"
"[-1.6340637883291156, -1.2189794028642837]","[-0.7879886492795041, -1.1123009989982438]"
"[-3.1301061345204553, -1.0023483223259868]","[0.014064231884582733, 0.14975479462859162]"
"[2.9840522245983636, 1.914090196145]","[-1.5918405745702107, 0.8192003131877311]"
"[0.856614782888928, -2.6908648855747326]","[1.8630469926313702, 0.33244633417950803]"
"[2.2505606139553964, -1.6417570685517417]","[0.5711043154107937, 1.276551391901268]"
"[0.9148398356752805, -2.3877798369286625]","[0.2726207914761288, 0.8190759460920762]"
"[0.8878261501581307, 1.1855895703805122]","[-0.9191911655066625, 0.5070662677861909]"
"[-0.5462983872439696, -0.17129346987179775]","[0.9753586732924293, -0.2973235340650197]"
"[-2.101563212137336, -0.5537734298603081]","[-0.5228353229740444, 0.5749609104490612]"
"[0.9463775857418039, 1.668759565314413]","[-1.333897833486819, 0.1244705111822183]"
"[-1.6749499100296774, -2.0270305662946306]","[0.8689641355458089, -0.4309524547319938]"
"[-2.170930522554538, 0.5344916429246324]","[-1.58116220112917, -1.0644094667879742]"
"[-0.1115513157098492, 2.2656505258404342]","[1.1658086539874242, -0.48878951890393146]"
"[0.5807907152058779, -1.2022104015696389]","[-0.21977511238688105, -0.33987172527945847]"
"[-3.0878285698024945, -0.9444963883990172]","[-0.8047677105365263, -0.8274620570560689]"
"[2.204177802179466, 2.214627310423428]","[-0.11725580302097116, -0.6062465441128503]"
"[-2.455534303368996, 0.5174451082327772]","[-1.3328600931775534, -1.2934924712066125]"
"[-1.8281350114670472, -0.3987445099895222]","[1.9392505315176112, -0.5339560723192753]"
"[2.5556750968707407, 2.64535231209085]","[0.6526156640592642, 0.24547906647144363]"
"[1.788981346786362, 0.2651865562568493]","[0.377228826939511, 0.3674241668186419]"
"[2.58945206383754, 0.5301131640164903]","[-0.5070651009651946, 1.45592089288901]"
"[-1.6508925293489782, 2.129841639253737]","[1.4653762284332064, -0.8161609487318254]"
"[-2.8423543376771896, 0.8863569433420533]","[0.2784672144128643, -1.4669689051134036]"
"[-1.879749368596653, 0.5899859749435731]","[2.2202589174083385, -0.02982763182723344]"
"[0.014401943923659146, 0.33988410687196036]","[0.3197955188215446, -0.2611096870916703]"
"[-0.11494742558560131, -2.387969511650687]","[0.6385485956049352, 0.9266673987230846]"
"[3.568556251567874, 0.43380667856745087]","[-0.6203828620380711, 1.6899860276233156]"
"[-1.2033144803265126, 0.3135847091467937]","[0.3303003094774475, -0.8286080572665316]"
"[-0.5387446758298121, 1.829219584093097]","[-0.4928266857699173, -1.092574662780209]"
"[0.001361665552576933, -0.3983217929296271]","[-0.9504145326961994, 0.15128950762738652]"
