image_embedding,reference_embedding
"[0.6799763225548747, 1.9133660606082308, 2.0135578528345692, -3.292994778587832]","[-0.9840052300394997, -0.45762858255324035, -0.4063235599418764, 1.1132849522473376]"
"[1.6048170069311805, 1.2632573466474863, -1.4573483589757878, -0.8287803191758495]","[-2.065868343932822, 0.06960824342514324, 0.5667540990706379, 1.0679302377374096]"
"[1.5644861385501194, 0.6199337273779442, -0.7630363002118014, 1.1477139515020316]","[-1.7253336990263237, 0.19498209016937168, 1.0499539010737706, 0.07364860222035093]"
"[-0.6094408436671245, 1.4964950185843875, 0.9770232724738444, -3.2075265101262613]","[1.1101450524328378, -1.3264013691112044, 1.109371185174032, 0.44441194946585816]"
"[-0.09022670881914682, 1.5891185458424806, 2.036889973372239, -1.9637859318984188]","[0.5418957740077995, -0.9945857800689237, 1.1049500518419577, 0.5561377857859521]"
"[-1.5471433857286259, -2.2410100135149444, 0.27316730217119695, 0.0832601947196141]","[-0.16659984397974603, -0.3096763328505456, -1.4041957747889657, -1.1324988903529891]"
"[-2.583686594335257, 1.4254986337026196, -1.8042076826444875, 1.8207572153465625]","[1.9664375351493488, -0.7897199701681981, -0.5436344358727958, -0.9593369733869588]"
"[-0.719293581759079, 1.761110329280575, 0.04051524979274542, 0.8214301222822142]","[1.8165056746979615, -0.571894053077298, -0.47707891050459206, 1.106618357442423]"
"[-0.23306712009374372, -0.8369096783449123, -2.244868464240891, -0.8712742735590572]","[-0.4904381549081755, 0.13419834267138084, 1.5570468982161965, 0.12611544898046848]"
"[-2.5140976305837217, -1.064825482239569, 0.43331952360168874, 1.9250046526325186]","[-3.071197895956986, -0.9086775488523485, -1.3433195149131931, -2.3992849893745234]"
"[-0.12650757224125597, 1.8870787935725382, 1.7061482080342825, 0.025565013709358753]","[-0.24337554224922922, -0.8737038827747347, -0.8313187088088799, 0.036632364931117475]"
"[-2.0348867092446885, 0.3322527954526596, -0.9356871605721008, 0.2805138115581185]","[-0.8636258261315286, -1.0165866504665717, -0.6438667329597908, -0.4441603631189594]"
"[-2.3546428032047464, -0.3730536921466234, -1.5204078237500438, 0.7955040935695992]","[-0.29479998063343976, -0.16418357507556192, -1.0311661735709743, -0.5870359643645744]"
"[1.0600941001246202, 0.4506940197977781, -2.1930168157215184, -0.8694684186450359]","[-1.1656078740423608, 0.9999537137532608, -0.6178546511093117, -0.06887742550337361]"
"[-0.30656600807846746, 3.042511899280355, 0.9362590668026568, 0.6316623819541974]","[0.680018928634803, -0.4830776533920038, -1.1902785689118531, 0.7788950022171914]"
"[-0.03568746292521886, 1.5287149116059433, 1.4022815209197015, 1.7543723619880598]","[-0.7254989515594702, -0.4701955271891243, -1.2174604948180798, -0.44388036283147864]"
"[-0.1309168202137488, 2.486408151515369, 1.7097653928277474, 0.7279040782525777]","[-1.4535913689508533, -0.7185158030888525, -1.501960030620315, -0.2083085347252125]"
"[-1.0200411911572511, -1.1818078373135288, -1.3186614593550103, 0.15430204360189365]","[0.14887178322316566, 0.19498881299260445, 1.1549732979949696, -2.129526426493546]"
"[-2.0857205764647135, 2.1728399274022485, 0.6551465572469006, -0.3912886669471931]","[0.055769077554900286, -1.280106437677631, -0.43894906352886653, 1.8338140081588528]"
"[3.9740819010710813, -0.44703568072457533, -0.19529394412617238, 1.5466632781422007]","[-1.3569268160143282, 2.8123502817709793, 0.6998601091859425, -0.23304914494226817]"
"[-0.6043668894492703, -1.6001773097382859, 0.2985164149464075, -0.07582145461684181]","[-0.09799048975571581, 0.6600313615834942, -0.31575307195102276, -0.20282399283635363]"
"[0.37204995015445447, -1.562090337469428, 1.9573146853167815, 0.3393515976881585]","[-0.40409941468352456, 1.1888320835698114, -0.7434958597027455, -1.13095921419857]"
"[-3.0606963064744277, -0.028288147177773885, -0.401983988486284, 0.4626817579624007]","[0.6120412682579338, -0.8960264764014996, 0.26021707695686863, -1.0725279232488407]"
"[-2.123138417724819, -0.5207394766682086, -0.04053558830644588, -0.8570531255004891]","[1.085142495665173, -0.562758417744485, -1.4295558213238202, 0.18366872596737946]"
"[-1.8202415674988286, -0.09102687739287126, 0.41695760497891066, -0.8830690614877195]","[0.06280323837401573, -1.2864718612909916, -0.10777519276358384, 0.12341885241207612]"
"[-1.9628630759091106, -0.9535435807072408, -1.0792122231151653, -0.5948700050932146]","[-0.48110307983622475, 0.25682054418825495, -1.3957103510013875, -0.5689039245452514]"
"[-1.7192629638079775, -1.8110861866925363, 1.404612831579203, -1.2366067209773943]","[0.5933284894311954, -0.8765976398767965, -0.27904884458335505, -0.8718129160070287]"
"[2.9689173604983385, 1.119654584177931, -1.421383451521039, -2.250154480746876]","[0.22805018598170723, 0.32595086231736004, 1.8007793227530717, 1.237394566438482]"
"[-2.558353455193751, 0.437885582278985, 0.5023749451230235, 2.2373265001473763]","[1.2531066656224423, -0.5900369373172019, -0.44125602503791156, 0.05755821614234197]"
"[-1.8803328549017495, 1.0744275241395251, 0.47244938605577974, 1.8909745781299]","[0.5708307632163511, -0.4320441144744654, -0.708808512357467, -0.31997679281443725]"
"[-0.18600319890718742, 2.207828578097974, 1.6705084735616165, -0.20305218671418554]","[2.0097104023868355, -0.30663290681515165, 0.22949467289246403, 0.09966808747661399]"
"[0.9487483085225307, 0.23234847577858767, 0.18185776847277643, 0.023688893148510633]","[-1.2516467172690482, -0.33629086618846654, -0.35946248456865937, 1.0567496239933423]"
"[4.495681951704992, -1.3571043216848162, -1.0292508861185998, 1.714249917996405]","[-1.4258060502627328, 2.5573273829352607, 0.2678922408195671, 0.2297451234295455]"
"[-0.22804129819449853, -1.1846833310205391, 0.8013033495759927, -1.0538634040526658]","[1.3669941479421834, -0.32213557335064663, 1.2636657014737684, 0.10481248060610966]"
"[-0.597075306319978, 1.9233145576495454, 0.74683277791128, -1.0612742026453124]","[-0.2547025036835707, -1.3938169417195012, 0.9778908560027172, -0.05482033294348259]"
"[0.30477430725313104, 0.40891150712561314, 1.404949244944096, -0.2710456648928325]","[-1.2190394950464292, -1.2616818285863018, 0.7745989936498405, 0.7324008121224324]"
"[0.6098567777894635, -0.5755711070350336, 1.3332356261157428, 1.4239647644549307]","[-0.35779462736694173, 0.6860596764501397, -0.5268559447885146, 0.6845341224477872]"
"[0.4351060949036067, -0.2344254721759977, 1.1775378201313575, 1.6251746831211933]","[0.8034755149126048, 0.4153663582631523, 0.16049367679519239, -0.07128810252965294]"
"[-2.6664753555309284, -0.6186671348217595, -0.24470981609993872, 0.12991206195434268]","[-0.6700951929365984, -0.8504511471839051, -0.18508261448167312, -0.6328148559592477]"
"[-1.53812643492349, 1.313587740808279, 0.015195518946832472, 2.020372151365442]","[-1.0548334834850681, -0.8394577460541215, -1.0287409582773757, -0.3162403374662348]"
"[0.4278718622819748, -0.0769887470080194, 0.7535940086900276, -0.42750485895573226]","[1.525488895239808, 0.390491783192288, 0.3687685647981986, -1.3519549867837743]"
"[1.043117288549723, 1.920090223898864, -0.3301357233783972, 0.2151408632132318]","[-0.6890050277987565, 0.34419271669679974, -0.802308281986263, -0.8396188849831391]"
"[4.1221964775220865, -1.6972048017183958, 0.2848981599224537, 0.6109685372536543]","[-0.3533139196742239, 1.96903997413933, 0.17464342123940607, 0.09708246106896538]"
"[-3.5555650081012935, -0.7666037729969474, -2.10708009921667, 1.632681325047271]","[1.5091270958740137, 0.5924002620627629, -1.0698718141385366, -0.7608982526174718]"
"[-1.6917310934513268, -1.3504535583502144, -0.1965847063591647, 1.7823454299763684]","[-0.6336882101076642, 0.3517560168503167, -0.9912836126432871, -0.9352152269687459]"
"[0.5088102383403937, 2.2847799444849555, 2.668542766650879, -0.42795733326235075]","[-2.1315975803681764, -0.7751066092613047, -0.2812368160476942, 0.19116452860139263]"
"[3.9137764289155457, -1.5130771906003322, -0.8132734794543864, 1.9026738271432562]","[0.005639459709037212, 3.219955813368615, 0.35197847635093776, -0.23629070378104694]"
"[-2.03100390965874, 1.2909442382762033, -1.0903360444793087, 0.8608331498748382]","[3.473097643153555, -0.5848897547598092, -0.6264296744762671, 0.2389804851727133]"
"[0.005802926113424686, -2.3115340296638323, 1.079292173908334, -0.20649839062376454]","[-0.8084231683263686, 0.010992278559180306, -0.6444131646208501, -1.1521342810831023]"
"[-0.8397895229643014, -2.3109668208335523, 0.05072197237926257, 0.606897120305956]","[0.2923005370535531, 0.14167053368725926, -0.04008689090341018, -1.6901188557712723]"
"[0.036256253368941616, 0.15341563507325554, 0.09953917649413037, 2.2577636983465617]","[-0.232507056676931, 0.5397171639888315, -1.073906552982364, 0.19005911554678134]"
"[1.6935100775008987, -0.7789790849485475, 0.6944421545436364, -0.2799996710608034]","[-0.14682723548973453, 1.0072300057129049, 0.08626841493290698, 0.4100383801659065]"
"[-2.0672099276137432, -2.329685262648588, -1.8174251391180294, -0.6630563191512494]","[0.266601435564671, -0.562026888299837, 0.4948140021620542, -1.7045325145981456]"
"[-0.6291783579388027, -0.09614113948042267, -0.1389899074148988, 1.0826973609203128]","[-2.3665857503370185, -0.7938760556214876, -0.3396212310963806, -0.5222034960358045]"
"[-0.9832602786905414, 1.182146432662598, 1.9193219760147442, 1.6417099768824266]","[0.31048071082279377, 0.019355552892500686, -1.6653835972015443, -0.5117645471270134]"
"[2.7315413771473427, -1.7285357106429278, -0.2302908698860395, 0.4821694587952197]","[-0.454595923631259, 3.0446652092020665, 0.025833731988457932, 0.6133410744536766]"
"[1.2695335528510974, 1.5234178653982722, 0.9399416961473944, -1.181270860266452]","[-0.48969531534089805, -0.9203038757422466, 0.38501665302325466, 0.6992615889095843]"
"[4.2718412929530984, -1.1429490084726963, -0.7134494715693194, 1.5441115177200297]","[0.8322265810149844, 2.4766896534992595, -0.414368286524856, 0.9504735451711759]"
"[-0.779573507313145, 3.008865495976286, 0.548476467491378, -0.9513384562301119]","[-1.8669955722292035, -1.5478503921199132, -0.010827945646161475, 0.8469175430454311]"
"[4.646572844863961, -1.3190537854476632, -0.42488940651476775, 1.464571506894727]","[-0.5539084855048777, 2.7727840239621333, 0.1632562708854912, 0.44270169794100517]"
"[0.5432537817287874, -2.615064016934149, 3.0441050221371944, -1.9688297527509249]","[0.9218779685120124, 0.39359898403328286, 1.077616455061487, -1.2990757956275771]"
"[-0.4532710510446267, 0.9862466046588607, 2.1028261977661895, -1.86842063171399]","[-1.0689558168627042, -0.9723616031785389, -1.1734419798564382, -0.25790551561167946]"
"[1.1832902692637532, -0.12089031481609297, 2.216286087988741, -3.189537487266304]","[1.2351832521575574, -1.1191849314469275, 1.0146633610761984, 0.6571865144953065]"
"[0.393854249970823, -0.8811243389587897, 1.3526292255314223, -1.3633016476930564]","[-0.9949045716296386, -1.4047505590373852, -0.25648562478961695, 0.036763442347740344]"
"[0.2608178748600453, 0.1407259616625443, -2.1031181864964217, 0.1321519713387783]","[-0.3014538902501309, 0.9002913226838063, 0.40480281460306783, 0.16030199278372662]"
"[-1.1842032448232696, 1.2915218075147576, -1.7540442723440113, 0.16295772687156296]","[-0.34484379388953373, -0.5074841497776156, 1.7890484186483129, 0.28854583957738644]"
"[-2.5284536741479404, 0.4353060819847564, 0.5439592878851055, 2.473023689503819]","[0.8473040902145619, -0.7132902056259209, 0.18387034318559994, -1.3679052067464104]"
"[3.577290396605979, -2.4317675870496043, -0.9945675233575312, 1.4560393347979816]","[0.522361135248566, 2.991526950033076, 0.16222482867558818, 1.0104258202120602]"
"[-0.4759149751286711, -1.5566429526347223, 2.4762461036572163, 0.36157260672525193]","[0.8369316545390111, 0.9232097063934087, -1.031783906006189, -0.16773988452478125]"
"[3.4172643175606727, -1.7997841888385695, -1.5846260048022947, 1.280263944393585]","[0.19522117951563056, 2.6185300253027277, 1.9449605201168891, 0.09283702690395021]"
"[1.1200144266128214, -2.5689246486706354, 1.9616226082198478, 0.9401785301744566]","[-0.9156222097541297, 0.5736362568256692, -0.9239652937986479, -1.2907886929117252]"
"[0.7575715671378968, -2.2284555695396957, 1.2212741581771538, -2.1969291520122707]","[0.40274747200666944, 0.5583809144492625, 1.7703040633435867, -1.8151129620107478]"
"[-2.4733454498011693, -1.3905625243369666, 0.07096976131917013, 0.9255019193246605]","[0.7367101173384814, 0.5998706798101148, -1.5093900703090584, -0.818232101292607]"
"[0.06827396414180915, 2.948677082282017, 1.8433837038273142, -0.9482796926435781]","[0.5629985794695052, -0.9681956009708687, 0.4246781177386888, 0.39182037544230797]"
"[1.158807939429211, -0.557354980071274, 2.7882865333862474, -0.6926696117780625]","[-0.30743281244427567, -0.25895786451203995, 1.4594452756957155, -2.2417734914316507]"
"[4.019919277072216, -1.7041928923016614, -0.5593971647928966, 0.5291053937151085]","[-1.1528318725372142, 2.1765441927918925, 0.5152390232512373, 0.4232177862548274]"
"[-2.3850927968031637, -1.1406823569411202, -2.7432949630576493, -1.7296725439673937]","[0.7868830644748571, -0.6671777507557037, 0.6758817096477582, 0.4467939567913767]"
"[0.07060348551619283, 2.514059115151731, 2.309995416487243, 2.2882403425017097]","[0.4067555118895658, -0.4383575497098788, -0.934693916471082, 0.12015046669706356]"
"[1.7255183289791654, 0.3705390702486258, 0.3396489320255109, 2.1096269797192577]","[-1.5003405528819316, 0.4935595862916898, -0.6144033898719719, -1.1747276686033479]"
"[2.2506658042263283, -0.8017879725929423, 1.193757395390222, 0.37122112697718523]","[-0.7743772465646023, 0.43980543626527596, 0.4661734382831207, -0.18901699009398068]"
"[-0.40733339824501763, 2.7329647420708043, 1.1032585023475932, -0.8115440748074148]","[-0.21943113874111606, -1.3657576976830317, 1.8760494270610324, 0.6356187139017998]"
"[-2.7118580502937157, -1.5900192839995653, 0.7117378026937379, 1.4289218394290792]","[0.8321762662994161, -1.0628754255274822, -0.30485650525709246, -1.482641193821253]"
"[-1.5590420491081056, -1.8833403612408122, 1.7699804429749457, -0.6084439418700744]","[1.666086000480266, -0.7261636996755597, 0.1331546425765209, -1.1302271469274934]"
"[-2.3240717726542472, 0.8915479683896649, -1.2969879420785528, 1.455421998727208]","[-1.9172531081859658, -1.9088303506015645, 1.335632440457238, -1.1078193966366974]"
"[-1.282349645180175, 2.3064478462540565, -2.399920422974173, -0.7904365731945711]","[-0.08970494288212838, -0.6861357410930006, 0.3222313002725244, 1.4639932174866093]"
"[0.35706673486972235, 1.7333377978755444, -0.1114521393019659, 0.11273339114100031]","[-0.6866561923884172, -0.9307740364104685, -0.11758500029169314, 0.10697341303913271]"
"[-2.3868320171696698, 0.8524603700138147, -2.2868542907146034, 1.3725157842136082]","[0.988021168857227, 0.13715243090838522, -0.2542656017162469, -1.1740218026986076]"
"[-2.488609406474783, -0.8832689747844825, 0.4512637415445258, -1.4335813611754868]","[0.6708147080213795, -1.0728890650398202, 0.6864609459005431, -0.14718306229102968]"
"[0.4399315344884302, 2.379666778436243, 1.0429308952440992, 1.2708563831199247]","[-2.2490476792936036, -0.5287140425340859, -0.09417219632697099, 0.019102680429907225]"
"[-1.0946712465694386, 1.8267243085631466, 1.451902938168334, 0.2871308283596416]","[-0.6281003548682865, -1.783499020048969, 1.891599310658703, -1.1766649129623354]"
"[3.154870994239482, -0.4613876227143281, -0.7383994107990514, -0.06371692365788836]","[0.17705285875005874, 2.11106137465562, 0.3363628317257761, 0.6399682787542814]"
"[0.9974818021497238, 0.3497864213788652, 1.0811097364986015, 0.31438447773014316]","[-1.4109035535030379, 0.30730460821357475, -0.7683884273291123, -0.278762887524907]"
"[-1.9791553540331657, 0.14115810023192793, 0.1430339491915628, 1.396547027128823]","[-1.1965924281846463, -1.151196020453604, -0.4545963664990642, -0.38413246173977067]"
"[1.0930975098657507, 0.3539747623007798, -0.8469734131581452, -0.0275561969965903]","[-0.8965489930258271, -0.015712042006625425, -0.6991027634520696, 0.2211085394563842]"
"[-0.577705410396371, -1.8350459909031982, 2.0081410800804886, -0.5571837056493592]","[-1.1950411762886972, -0.11545746952960288, 0.6063942248741856, -1.8328210132927063]"
"[1.8677418945375328, -2.330026313255828, 0.19417497040617582, -0.6305018808655948]","[-0.41693437565503055, 1.4751441445864448, 2.679280981938674, -0.5451107681262981]"
"[-0.6748809328302136, 1.6849092063100775, 0.22041160777432123, 0.7902111990429979]","[1.1859363384729589, -0.27990256249284273, -1.7219072241745066, -0.876471511140511]"
"[0.9282970838367237, 0.2349391927055677, 0.25346485723536183, -0.25512669914923664]","[-0.4422637757678063, 0.11086212784684005, 0.524838135257727, 0.17723610177145663]"
"[-2.682835195191379, -0.9418657674490766, -2.2175884347401325, -0.43782318215035054]","[-1.3162836444286663, -1.4447685141336992, -0.3387784563722824, 0.3349442995863115]"
"[1.9014406242889528, 2.0325939623930336, 0.17359246785205837, -2.6050260628964397]","[-0.33089037521651243, -1.1706775336444175, 1.6681814123743075, 1.9958149688518758]"
"[2.3023999530323533, 0.8103903431147875, -0.598405696942647, -1.0177990562185515]","[1.3688811969241694, -0.13787182107302706, -0.5671906293362717, 2.7078799970644236]"
"[-1.1582962082940698, 1.0350497190248398, 1.790480191377145, 1.0573579354791227]","[-0.13286922379955154, -0.4172199085555933, -1.3024323411348822, 0.15347961841749622]"
"[1.7353014377958407, -0.38644077256926884, 2.584872460303335, 0.9260377747325773]","[1.8813110862160303, 0.824086112620584, -0.9391406441024552, 1.3011812175899355]"
"[-0.03260183199255561, -2.1327110760596537, 0.589797971455317, -0.867397729702251]","[-1.6957936138755534, -0.17419347872056223, -0.02936965186599921, -0.592452629959201]"
"[-0.7631079787265602, 1.6796340722422063, 2.1222342115714503, 1.155421318195442]","[-0.20332603787385312, -0.40246334624001767, -1.221184114657454, 0.3953514772483484]"
"[-1.936904503321805, -0.8579652599245186, 0.5224104835995982, 0.8336829084404057]","[-1.4234755476071277, -0.333464649601435, -1.349191067624176, -0.8979921756292053]"
"[-0.4891886553530965, 2.4698948365480957, 0.22221168080337536, -1.421362156630487]","[-0.24689584437573212, -1.2174413337705423, 0.2915783617792779, 1.736897747288529]"
"[1.1556498363164007, -1.2971612339314715, 0.7826003556857545, -0.02876917825013935]","[-2.3118047615187773, 0.1069303511116067, 1.0229815990624687, 0.13453885499047719]"
"[-1.256497588640274, -0.5689425841702771, 0.7566656605795327, 1.445792680868101]","[0.4278954411351934, 0.17704145614569156, -1.0722606192747521, -1.2313952011579452]"
"[-1.2021470082652468, 1.0089619342591771, 0.13671063862327448, 1.2968195767386457]","[-0.9488675846317817, -1.2771440006409838, 0.15158949726844398, -0.9445056895916079]"
"[3.3986619398141396, 1.3723647115022066, -0.10860052250224006, -0.01088209814083085]","[-0.14449528192913902, 1.3135935486031916, 0.044982859451982354, 0.5844781990317215]"
"[0.6692218672383368, 2.115841490084459, 2.242375933993848, -0.7054632840790274]","[-0.6008853714568597, -0.09331971286767485, 0.2204282842257294, 0.34506600135529825]"
"[-0.6639305512867393, -2.1690291376769415, 0.7579278177283298, -2.052006344998615]","[1.5930537510266476, -0.46980566674861235, 1.9178896922919515, -0.6179887989726913]"
"[-1.6603512475230369, -1.993546795807552, -1.5828378544247752, -0.6697931323172954]","[1.0823627358956602, 0.38227096983068387, 0.17520793116583772, -1.6116153880806101]"
"[0.3717930230445464, -1.015812054837029, 0.15015740671120675, 0.012252931030848888]","[-1.2077508550961278, 0.07078047273519533, -0.32467687564358766, -0.16885588295863396]"
"[-1.7056278331204364, 1.232928521867515, -1.7104030770092973, -2.1712165680436026]","[1.8136133011986273, -0.9998282753597347, 1.041712425455371, 1.4225202857369652]"
"[-0.5946607393931259, 2.49625760400407, -0.06281602968782656, -0.36880438395926235]","[0.4368505042322044, -1.2323488752138658, 0.6507052120929577, -0.3387766558054393]"
"[-0.687119552213134, 0.45263353455545063, 2.511758932997144, -1.1103539945435261]","[-0.9733468662789655, -1.362154265922239, -0.3677311651303604, 0.46362698671242253]"
"[-0.574133378799315, -2.4178721052153858, 2.2046146351658904, -2.1060337070728754]","[0.42513823556341807, -0.6172273090957362, 0.5495794455469464, -1.4470623182169875]"
"[1.477469836823569, -0.9803293846603739, 2.3296542833922933, 1.9756129530100304]","[0.6515102133812734, 0.7378757881233134, -0.10123968620785297, 0.039909149685127134]"
"[-2.750166284577169, -1.1606732374287216, -2.7051388490649, 1.3358784017850212]","[0.7049158761495485, 0.14121722633779119, -0.828244231601034, -1.0359824737689645]"
"[-1.28646107934464, 0.10723968514295189, 2.2519223609578165, 1.3083952806906185]","[0.44954575424974147, -0.43115235931424, -1.8850930973639344, -0.010207388996738146]"
"[-2.7485165122882105, -1.1867172688310004, 0.4218326680175168, 1.5888873689029455]","[0.9481767682299543, -0.46579028484344487, -1.9745378840686312, -0.533901663279583]"
"[-1.2023969571313613, 2.661614519731248, 0.22157899158303293, 1.5912278475540103]","[-0.1262880229382681, -1.120431926901756, 0.4253429431158855, 0.035284239768984565]"
"[-2.1611897833868268, 0.43056135228631687, -3.521273474498798, 0.8256330617551282]","[0.6389995277618361, -0.3842945146313536, -0.2248068824403844, 0.734426920191832]"
"[-1.3199495359110136, 1.4863816205522766, 1.3423718281215027, -1.0408811553122614]","[2.2950288564089405, -1.0916920781391999, 0.8101085469672094, 1.4843904929426426]"
"[-0.6417133660885381, -0.026217356625503545, -2.5328516130872223, 0.03446942261796582]","[-1.8354027635043888, -0.37555270812359187, 0.11441960241156016, 0.5024711087898189]"
"[-1.3449611620036421, -2.194357183396929, 0.964796431566521, -1.7479329481826855]","[1.2869381221163751, -0.20361579361155005, -1.342189559883031, 0.34759343667833503]"
"[0.041284696372617516, -0.901176968775018, -2.358777850058057, -1.72504879900601]","[0.41549598628447554, 0.4657659275532109, 1.0872765606678947, -0.6595679328738312]"
"[-0.710002585285788, -1.804700128258768, -0.6543987687431835, -3.184026635620154]","[-0.05765874770651199, -0.7196903122453441, 0.6793427011404826, -0.2536146510861629]"
"[0.8353770623004179, 1.3254535059978134, -2.4662752038226285, -1.4104476086328661]","[-0.08219979015749025, -0.06681414854450544, -0.04371487448374848, 1.3199927306926709]"
"[-0.12273874764125034, -0.11165397369950077, -2.3695754254779655, -0.5533831334710246]","[-0.15810876103248456, -0.45092706603717475, -0.45127843334504325, 0.620739252228392]"
"[1.1175561212814782, 0.26270725619292473, 1.1022914718149006, 1.7472610692021577]","[0.19236511207631263, 0.4946973827372945, -1.0519585863250185, 0.16144726827109043]"
"[0.08449720092749108, -1.1256082360659994, 0.18238272706095465, -0.674263053303152]","[0.6303709066892925, -0.3342037924854498, 1.67577166025069, -0.7699548195888837]"
"[-0.08709916721357402, -2.180282640675101, 0.6945821872215541, -1.9037216347263102]","[0.42082516191829406, 0.6697448765304881, 1.313073689732781, -1.7301377063877716]"
"[-2.0436834309447596, 1.2727492747163667, 0.05463018978718897, 1.075761840926353]","[0.187499196749677, -0.477463369012199, -1.573293077476669, -0.2284709692363144]"
"[-1.4880465397186258, -1.397293008293529, -1.8004313704128494, -0.8036933340686219]","[-0.4493785506854506, -0.13306281140978735, 0.9012262427040618, -0.47108154174078837]"
"[-1.7219068682866825, 0.5908672413330984, -3.8008845904693587, 0.6260353291272118]","[-2.0299308242962666, -0.4633901024662761, 1.5557060125057875, -0.3541329859762531]"
"[3.4026710295244, -0.10612829967815998, -0.405042129625407, -0.6278535172713954]","[-1.6333161180671285, 0.8783903980249463, -0.14746768480397127, 0.48282518428167387]"
"[-0.3382171836285772, 0.3951131987543878, -4.045546551287632, -1.4485523472356883]","[-1.6325310627448484, 0.3357482025351965, -0.049926406517167884, 1.1852891936273071]"
"[-0.1731622351797896, 1.0689001432609246, -0.41882961474099356, 2.0910316940312565]","[0.5797273659430145, 0.8220573696663075, -0.43197064675201224, -0.11311586463146434]"
"[1.7794520116767563, 2.4760263152326925, -0.9957941252044967, -0.7165141701539135]","[-0.4806531827751243, 0.3348750970129613, 2.54801709934498, 0.9192746234075649]"
"[-2.17069450223209, 1.1989891175260428, -1.9685173693701017, -0.012365057652348533]","[-0.7034485931463477, -1.1468534151568892, 0.25082754253198525, 0.6950324940264062]"
"[-1.8583210090138222, 0.09681321785429253, -0.09145236471648631, 1.101472010385893]","[1.7395853761805273, -0.8988056178147092, -1.290189426816286, 0.21961253096829542]"
"[0.32089853571379423, -1.2805288348902344, -1.5566329227792735, -0.38902964494373493]","[-0.2149493009499307, 0.5644921952266777, -0.20778656179419397, 0.6904632603501263]"
"[3.349862089367258, 0.08225178521709077, -1.784239134453703, 0.9551279481825646]","[0.18690126613576422, 1.4549138657220548, 0.0018044370017406628, 1.5811583137239664]"
"[-0.08152638049878927, 1.5503515510318149, -1.7021505796015677, 0.7478307536881106]","[-2.2621498481674336, 0.3145959559175379, -0.3584028797166223, -0.8369557286161675]"
"[-0.9613725732341316, 2.7229437798184892, -0.14913899241359707, -1.4833558731293275]","[-0.02485418517299536, -1.6226786982200307, 1.4221225710842607, 0.9960446769123612]"
"[-1.231306808562453, 0.51191730344459, -0.2624997319230867, -1.3697144794841754]","[0.7776959581129695, -0.18428442384040267, 0.6607477972087452, 0.9717982121640243]"
"[-2.6109953910193466, -1.0693658920744387, 0.4243995399444105, 1.7035184764364186]","[1.3903089133755528, -1.3761565995829952, 0.6222636820187994, -0.3185476186526607]"
"[2.4895106155783995, 1.7550898586279007, -1.6556135311427946, -1.6092239298204611]","[-0.023122617808745832, 0.19011557614026867, -0.904132609850375, 1.7082024346934357]"
