image_embedding,description_embedding
"[-1.3084770439345623, -0.8847349145832266, -0.8594835840865879, -0.286318732557726, -0.8777292581448337, -0.5094616914195517, 0.4920179112169287, -0.0428836549743636, 2.9943692585540123, 1.4710653022117781, 0.3593184370940057, -0.5113016353142914, 1.9324286150482743, -0.9546139395731487, 0.23363290392403727, -1.1494683491787852, 1.5184946377903168, -0.5030680146786745, 1.904540338905582, -0.06955212544322822]","[-0.6962932096086075, 0.7385451421248465, 0.37033967946524654, -0.42698842890317407, -0.3493358089288013, -0.47277205670134836, -0.7388340019295617, 0.4202629580584518, -0.8751602150966112, -0.1497818819787472, -0.4294480436371432, 1.6313713136250738, -0.18454041867808146, 0.23184309270484077, -1.5251503419293009, -0.7276802069071282, -0.6246056895576875, -0.3643304370979127, -0.6883323719558425, 0.8235634022825135]"
"[-1.5489795145011225, 2.253855569777422, -1.6449038775346463, 2.148361091522779, -0.8734112411556159, -1.2577443302393752, 0.13312570190784154, 0.8822916181935595, 1.2934303716925633, -0.31679953832191254, 0.33807154112564547, -0.8413280554260698, -1.5644255672970773, -0.41450989319483383, -0.6478636166844751, -1.536239414052217, -0.7066955488581351, 0.4332642859061944, -1.644552194818597, -0.5473916613801044]","[4.277870415412318, -0.8802138764091652, 0.24887489227125018, 0.43799432219242723, -1.0293309744671153, 0.12660995607121875, -0.3903007149285837, 0.3112716671003458, 0.22223023941083234, -0.37821189723106086, -0.39497947852284504, 0.4425548024645061, 0.230850947075245, 0.673222799804723, 0.45959234388838466, -0.356866958149523, 0.7523555898754614, 0.14237897619392875, 0.5094725008221977, -0.6686321187588158]"
"[0.10894815359158679, 0.7659775010736504, -1.5093573547090633, -0.9817992042284849, 0.5151675557140166, 1.7844055670109835, 0.406822180744635, 0.2902805287077255, -0.5653879903131581, -0.7415056242536162, 1.3155122795733953, 0.7133658550727321, -1.3030712226884507, 1.022222843012896, 1.456474959729317, 0.04082420213176966, -0.11092751090850339, 0.6085137251803847, -0.4679881448933139, 0.3619477568284709]","[-0.44365407081727, -0.09279115001081487, -1.4963470653370066, -0.34711574187336747, -0.3556613143882139, -0.7370836534610977, 0.2810674849891813, -0.833924615420124, -1.2777525101757266, -0.15615349055944286, -0.30198064210237796, 0.6126914562820924, -0.30541369565293874, -0.34744635239252597, 0.3459284264795563, 0.6501608470238326, 0.6338955318294892, -0.7010983091124424, 1.0396127945918743, -1.407409328670991]"
"[-0.14552333178513369, 1.3617901505508385, 0.5692133467356985, -1.2317251510725593, 0.8357535147990425, 0.00989812641537069, -1.3109604001118527, -0.8627921896892627, -0.0034686078223461624, -0.2802198277782099, 2.2339622791933778, 0.11521387621417359, 1.3321639636058114, 0.5470827964902227, -0.5037130663172235, -0.3287971183026669, -0.07031520172142072, -0.4331413892413025, -1.2395559605922108, -1.481569748460761]","[1.1642678577000714, -0.5779304070099802, 0.14974373220090523, -1.254340053207034, 2.004514741469859, -0.26687618888382103, 0.549007473675449, 0.2182018020854032, 0.21859229055153528, -1.1823423204616532, 0.08241122175039167, -0.10902798534411479, 0.2885491266935676, 0.591384470885713, 0.890053773658456, -0.8764566518318501, -0.06768469466475079, 1.0050604959363303, -0.16324645577629954, -0.18690944305927612]"
"[-1.3616398688417977, -0.9545952846327741, 0.897454624221428, 1.9849639065122007, 1.6995320282098505, 1.117265509239433, 0.6480534175405535, -0.13238656321269612, 0.19224610840005135, 2.152902820885734, 0.3323401716090171, -0.7646918114828647, 0.09444076210161578, 0.5431669769256399, 0.4150457176423218, 0.6690032283370252, 0.1796887057424525, -0.3234303334280541, 1.222001495410225, 0.46129410043960456]","[-0.4060854596001119, -1.2514022708535097, -0.8326952804863577, 0.20498195280471498, 0.7675899645154048, -1.8457305039191783, 0.4863217439165039, 0.15230727738986713, 0.15665141520553474, 0.08654233881756693, -1.4842987061493629, 0.3301827512448502, -0.2068905587413649, 2.0408886290705563, 0.7056964705975881, -1.0781588918555167, 0.3209514243061811, 0.5724472962540604, -0.43175509548340235, 0.18688202480137645]"
"[-0.030276869095153685, -2.5672146751666185, -1.1539077715193233, -1.0174262866619976, -0.7448816795681833, -0.2167764466528324, -0.33765413929324767, 0.7052054368763478, 0.24393745751022836, 0.9585763155439164, -0.8529601902850883, -0.0318889036378966, 0.7125254682673818, 0.6801175263117288, -1.343496586253335, 0.9657743982326948, 0.05911400761774988, 0.82288134169775, -0.11718068267775639, -0.47325698565898844]","[-1.1267418950811896, -0.3925129643538158, 0.9020858986603263, -1.095058406697911, -0.5511496890457953, -0.4798734707681274, -0.358916466711555, 1.7490106055354917, 0.4803602656855838, 0.5275392321812387, -0.46459547936614704, 0.13023255301281964, -0.007329128909219107, -0.4689911595596516, -0.44826206049885675, 0.43962858551110473, 0.7736437303585408, 0.38840655385539, 0.7050277802061888, 0.41039834545457027]"
"[1.2183212520840883, -1.9870219944927665, -1.4001971054225748, -1.7848449087246916, 0.11998082782148212, -1.1802459240926864, -1.44577624134832, 0.5903403186533488, -1.573889059800999, -0.49604466248944845, 1.034107196360656, -0.9307282444225511, -1.3056309956541898, 0.2843926779311741, -0.9632710152571904, 0.07263932609645742, 0.18244420346691254, 0.348050484111802, -1.0503962012101649, -0.011374458548308765]","[-1.053018793725035, -1.1132582024350715, 0.42612735249641154, -1.3326130741549416, 0.1429257269548308, -0.9157463631813703, 0.7626318230824249, 0.03521701138901943, 0.5115002404781658, 0.4838427974116605, 0.33118958053124453, -0.7196208411668896, -0.6157081169125158, -0.9966568050244032, -1.300341329293907, -0.1486097006841147, 1.179525420635982, -0.5052049539796023, 1.3750743437942239, -0.3301136571705175]"
"[3.5278697694299512, -0.3886886083569051, -0.2491735771539085, 2.5982384724941125, -0.3111189672348041, -1.895153737275045, 0.4461159352197104, -1.6136645099193307, 0.36137587051849496, -0.2572897928364487, -0.5943687002952402, -0.6683172533721267, -0.025598187205992187, -0.4517706043633654, -0.3526754280023854, 0.31832649666020907, -0.22565282863982344, 0.9275456076860974, -0.34778932404332247, -0.4842143200227743]","[-2.4677960960755096, -1.0521586244370658, 0.22604030709880113, 0.2636528885301933, 0.1548112161088614, 1.2874202008794562, 1.5738146290946964, 0.6734753574644856, -0.744450142170015, 0.10539518965228911, 0.022392741150634787, -0.03332791596870419, -0.624534091154339, -0.42313137468548934, -0.28323657946186753, 0.4679841734734922, -0.5261052960242494, 0.16188624677455477, -0.5660216048942294, -0.6602273730198694]"
"[-2.2298600727897697, 1.6103727471251705, -0.8403735152738212, 0.7465112107776276, 0.025903682183373182, -1.8761155960245872, -1.0889562726469615, -0.4873136191805941, 1.012606612383123, -0.7093646372022857, 0.9864480462732744, -1.2241184684952133, -2.1404669840397728, -1.588643886456127, -0.6408825851823695, 0.2043673515578774, -0.7880924648504688, -0.15656895191888479, 0.3328999046745093, -0.1538225801639653]","[0.9815140828215105, 1.0143658576515113, 0.5379112921232506, 0.15428886847624965, 0.7240631983066336, 1.1041472074848613, -0.22318912283415854, -0.11390827785208478, 0.4021765416161906, -1.2830200575743473, 0.0016245057002655797, -2.2642690665509986, 0.17562045353540934, 0.8915865033290786, 0.19569637216926064, 0.6851949987364385, -0.15193467149723036, -0.11915323695939549, 0.21569943687244414, -0.511954404107133]"
"[2.0000398266994472, -1.2279267965835656, -0.8401043991867826, 0.016465778228362628, -1.0339633812745581, 1.8930757104153633, 0.6320943330778542, -1.1198452280993423, 0.7091801187444755, 0.8697214784042845, -0.3954671940181638, 0.20391986765995035, -0.6137895778591735, 1.2436880636826666, -0.29883739593997394, -0.050667927095301865, -1.370342946579576, -0.16162268633700388, -1.0091332526506047, 0.041697438147382596]","[0.2242004647612999, -2.2094033419006265, 0.3366141250350064, 0.5548440347145058, 1.1429591402917616, -0.8054024588462333, -1.1244915746819022, -0.2677288208220088, 0.14091428167872347, -0.7121601022089694, 0.2992160429569255, 0.499198128451271, -0.4250622978540113, 0.728570917425499, 0.18395579123411845, 0.6458994590131597, -0.40653157120981354, 0.09741658144050394, 0.10327276381536582, -0.23289877791935784]"
"[-2.204461119403643, -1.2125827255964068, 0.1957195147079936, 1.0961465392447878, -1.7228395796911273, 2.145809272955258, 1.0389370535736548, 0.28382570735800855, -1.5199716636953517, -0.16420290586697128, 0.18235438898234244, 0.7185306193990397, -0.07174570388526338, -0.03030466524248191, -1.1290811991542173, 0.036496522544925, 0.09457996739499325, 0.692010417388308, 0.6113839223039846, -0.246139564451773]","[0.779172236592428, -0.4498345193867827, 1.3524186608491273, 0.7655879996946984, -0.6633427158313163, -1.0965344292774808, -0.9324465001983491, -0.40773753598492835, 0.5938254570553254, -0.014459729576812732, 0.8656855446006312, -0.699724715522102, 1.0273795004759314, -0.31399191883842154, -0.5321117698499904, 0.6234017761831803, 0.2797166202118227, -0.49033541577077017, -0.8275872966182278, 0.8818288249963794]"
"[0.17214310688738357, -0.2326053599312377, -1.1925960146638597, -0.889959055398327, -0.18084162857592267, 0.5761003035539152, -1.9212419162264103, 1.814972455192943, -0.17318736041052307, -0.09930110920518666, 0.9868729350113361, 0.3875246738724893, -1.365764672960511, 0.013764866996415437, 0.7413455745848789, -0.008179327051995366, 1.0382853658988824, 0.1640266059430722, 0.6006330762406612, 0.35820936830440353]","[1.2524814552524406, -1.493016262674919, 1.2281267453564586, -0.2643663937532436, -0.38212572619819624, -0.5766461367747784, -0.9481910365585992, 0.0038820632557223797, 0.3951806725469219, 0.652051083199618, -0.19893689429254133, 0.05654326147033822, 0.08092474280531092, -0.7293685484129929, -1.337895712078783, 1.183881352606821, -0.23700455144390098, 0.8707359578743001, 1.010566658419595, 0.16022123788767062]"
"[0.5865213261656752, -1.7758257139713856, -0.6192656574384097, -2.2736086558476516, 0.12456926771907091, -1.6329339997242596, -1.6608869723187303, 1.083976905259191, -1.9310528512383114, -0.1649647855471775, -0.35797119777531433, 0.697750257907933, 0.3568460997571759, -0.2329506176468935, -0.29507579761330244, -0.5501320536899459, -0.23753256068704215, -0.4789952240317716, -0.4229893705617803, -0.24172137358990214]","[-0.2609550575070992, -1.2025631830168422, 1.2374047976685227, 1.046616747579127, -0.8718395063357881, -0.7499639578028179, 0.9048905206390282, 0.8185373972897776, -0.6855412759053919, -0.3315367282110069, -0.851368058382943, 0.9486896874567526, 0.6735728111217554, 0.7672675990136889, 0.13339956689292773, -0.5338963634160667, -0.062235243813020674, -0.32810623418547363, 0.17068204048512908, 0.940082328294915]"
"[2.0933081668535922, -1.9899204259209513, 0.3311526526378485, 2.9175184084154795, -0.8749691783230584, -1.8726172740435574, -0.44332418330709633, -1.4698258782733649, 0.3426118537957429, -0.5635263172988925, 0.0879902778692497, 0.6492683713165651, -0.5950358933750742, 1.296736037061191, 0.3077507409185595, 0.4853253058053244, -0.7390362320599629, 1.1018052352470624, -0.13312358381038528, -0.7255973156265207]","[0.27642363359290184, -1.769291327113285, 1.8524542328742155, 0.9863460370111136, 0.26017004954856, 1.1459384293126986, 0.8332656870248972, 0.35655980380504887, -1.1077739852461914, 0.5081852962491784, 1.0606917870806007, -0.8470834433791876, -0.12851032449802746, 0.4516487680969949, 0.8018799316030638, -0.4542676858976133, 0.2575621773522704, 0.23723541101926496, 0.29725186488163596, 0.5289201343362714]"
"[-0.3123792840164986, -2.519121401085102, 0.7293396538713707, -2.204439596048848, -0.08789941779785808, -0.9589344814443248, 0.23962262683572297, -0.1622581542925059, 0.06695764872224914, 0.4092474264688565, -1.0933607005273005, 0.746930117888678, -0.6382864097305848, 0.5571128168359644, -1.2484333993884102, -0.06983449180578451, -0.6757063842041178, 0.15363830018436261, -0.4750454229630584, -0.30667584424600625]","[0.04843877740222438, 0.16079384424917653, 0.9436388805623802, 1.2338342335078771, -0.1433849271559165, -0.8403452770519504, -0.5672977026748733, 0.29934456433500123, 0.028826249389621555, -0.1404748692765874, 0.1571632644849974, 1.0212528053766798, 0.1504827782789124, 0.20937451784720673, -0.16351021951808023, 0.5777640986756486, -1.0792992429593573, -0.07472634352127086, 0.5791587326898997, 0.0020736086739665074]"
"[-0.5381406201420559, -1.1460959500877361, 1.6039708185710677, -1.9329702393998927, -0.5290754168203932, -0.7015591560017064, 1.3504201925035233, -0.032582657138995594, -0.9889780916930603, 0.22813514106248622, -0.0824793446858564, 0.8322860452137606, -0.30626636381599137, 0.006914550498483062, -0.10888425606178542, -0.9123979154954679, 0.960200991675881, -0.5867609279375102, -0.17551580121529647, -0.12034585431276017]","[0.7631410288011874, -0.6191969932786665, 2.238931490770422, -0.25265123864718964, -0.6304950119603677, 0.06087585932898923, -0.5677022898448271, -0.15898716412198652, -1.2328426778949668, -0.6650079592431459, -0.2130298529055382, -0.8574428652375131, -1.3928695560995008, -0.8411114913413161, -0.18965145763866226, 0.7436765025848268, 0.2860143414812299, 0.35662384155505084, 0.9860735507089355, -0.21241310123488216]"
"[-1.7762801498546985, 0.2144499975411357, 0.8407147496135762, -1.1513938927439638, -0.9628979363187722, -0.7405814023353072, -3.082174566870894, -1.853504516323978, 0.2044580369849757, -1.0250927330225548, -0.760332333018823, -0.126653349853779, -1.5033393807904964, -0.3485364675986734, -0.018548594948593344, -0.19649942063109663, -1.2151745912139966, 0.8061081432429561, 0.6638236453000143, 0.3897786865953275]","[0.2595993116094583, 1.0543917332886428, 0.30047388731232305, 0.9012590631603135, 1.336876913805366, 1.0302227770418781, 1.517293600772, 1.756881923342059, 1.611560044889276, -0.591273561051352, -0.05978119363055285, -0.3223106055611972, -0.12428556810485904, -0.5274551688434915, 0.044616625232875795, 0.8608137538653546, 0.5684402461524372, -0.7121128857003378, 0.8428694011741189, -0.46136523204254537]"
"[2.0521496137136253, 1.849854614118363, 0.09982048082201943, -0.08309265283198589, 0.13015409409247333, 2.0584997822306828, -1.0641829904786768, 1.7688963385902963, 0.8606936277723418, 0.6258924989797023, -0.8918044807092063, 0.8454541931322703, -0.04752382110625742, -0.8300262233619147, 0.2779910424612423, 0.9494136564546812, -0.3617348347262317, -1.7116659943373047, 0.5357770287894944, -0.5574411024466612]","[0.9402560545371931, -1.116151972677511, -0.5284621965947677, -0.7920256511382521, -0.415072805940673, -0.058548511481918475, -0.6696617938131274, -0.24493706797695464, 1.724831106937661, -0.23332533787999707, 0.5113668046208315, 0.48192830246727414, -0.7304923302362747, -0.9200665108917668, -0.8863532151018297, -0.2977750120794206, -1.0663370961642877, 0.46610003424742685, -0.25130400621477816, 0.6314135562772735]"
"[-0.6927396368958536, 0.27872299434087955, 3.3245400488753933, -0.4785185887195964, -1.839211026320836, 1.980409895518206, -0.46222276155273956, 0.38856232622913867, 0.4671152556046054, -2.112718821297031, 0.15110840190670338, -1.162203840455676, 0.11434655919942377, -0.33864684153055435, 0.12596728145450672, -0.37382025849931855, 0.2750469968107449, 0.4842774850203576, -0.3997208902677366, -0.14255375839749237]","[-0.3335336817306586, 1.2074848246807228, -0.39120292988140787, 2.1434400198016728, 0.7895790418571808, -0.8769925442553529, -0.36018389811582363, 0.6328641470353018, -0.17470127426496612, -0.8366134392554505, -0.7957706223150928, 0.2508125610584751, 0.010579083706660643, -0.028778350974857612, -0.545321686073155, -0.3582834741475231, -0.695686556747204, -0.709234780189654, 0.08029581107822792, 0.228527194896721]"
"[0.7068708550077063, -2.337368301385194, -0.7031788400316111, -1.5954143824270997, -0.46104615088396356, 0.5415906637361872, 0.22798447071075206, 1.5502725646566273, 0.045108643356102665, 1.9021606335196612, 0.8767218950803164, -0.3805616063944025, 0.1509243258072976, -0.10511572883580661, 0.4252784503200881, -0.48775536421671867, -1.1359263402219009, 0.2776933366833127, -0.5841822956873461, -0.19691227443373693]","[-0.8336873621350457, -1.296017492482704, 0.04649664867458683, -0.21114022922581308, 0.187232782469128, 0.07919467179425874, 0.9275172332780278, -0.32428212987039684, 0.9029261841400469, 1.2376774250132658, -0.7540144994846181, 1.4931470158313165, -0.8430489906876358, -0.3863733228489451, 0.14945531588097233, 0.6847810822632852, 0.40203075467499483, -0.9985953811630609, 0.38942884716359866, -0.20919111942465313]"
"[1.8370835215478922, -0.7297224142901606, 1.2259920707713148, 2.0427224447393924, -2.063283154633529, -1.6402857991057094, 1.0065643411638459, -2.1119281141316804, 0.9954347683499949, -0.7257438831098385, -0.4213812554439366, -0.08494294515080153, 1.050913600174858, 0.9798644558685415, 0.8006430263161525, -1.1871982307770246, 0.3141440718109646, -1.084379484835341, -0.40156509908553895, 0.22993067199554804]","[-0.9622017324233825, -0.2289481956544612, 0.24100604272049114, 1.0955782207021865, 0.528327715355232, -0.016376950849443187, -0.5786105370854899, 0.5585038913502651, -0.8885747153810954, 1.1132687481562078, 1.0871546842424262, -1.2386992696988188, -0.2585582104304741, 0.23629625755423792, 0.4596157843561485, -0.38526616870187214, -0.09254535720747654, -0.03303073214865488, 0.5947260709922499, 0.17785904454698107]"
"[0.5943294505975704, -0.23094072539123178, 1.310401231972668, -1.8156154960631052, 0.8554831679079338, 0.08508829760997337, 0.8812629773085109, 2.0513578972563735, 0.804561471717289, -0.0193518747436, 0.6972675617065472, 1.3794185387560323, 0.7232581205172555, 0.976392847031996, 0.7990438962909941, 0.542697560297915, 0.6884979585757628, -0.16766387304696898, -0.4260759906411343, -0.08176646517252434]","[0.41537308273426266, 0.5216121843403935, 0.39172191593691674, -0.7858956433133151, 0.1845856910773697, -1.183440332189587, -1.4219328230460195, -0.7368311553111282, 0.4115941675755516, -0.3035472487692824, 0.06698516089798928, -0.08585527646775351, 0.32980251519868825, 0.40340702185107263, 0.1583664472887347, 2.480830833103921, -0.5163783515081122, 0.6680264695425079, 0.6929161881393551, -0.8088556426676902]"
"[-1.1395812095790543, 0.9749933793333768, -0.5539137058030474, 0.7301168513823907, 0.4793149132095027, 0.9137419330569377, -1.0886778409820996, -0.7107602915236346, 1.7606815959815483, -2.3641921191334903, 1.688958599766397, 0.13705417079224683, 0.16771745074212796, 2.779639305919555, -1.290866594839485, 0.8482086439246567, -0.42085648459845915, 0.12346393536007373, -0.060913659797439755, 0.4424146010023039]","[-0.26277415426478, 0.410163016758542, -0.9937182372376067, 0.309021064070792, 0.6792283538027507, -0.3746301380879135, 0.5801022870425658, 0.28425406633196165, 0.5578823427368153, 0.8972858253759176, 0.5378853266182121, 1.0935551044836362, -0.08296017302627043, 0.29241710986632474, 0.357844343747802, -0.3586088266212314, -1.1503854465360317, 0.8763888893724322, 0.5423560967628926, -0.23940258435279488]"
"[-0.617674951327136, -0.6952768041288588, 0.08112801461407182, -0.6549713915437125, 2.277603598966769, 1.052257828064378, 2.784782409748086, 0.04551778199169233, -0.2875904943452725, 1.6003278054306909, 0.6059296242854417, -2.2065962226456963, -0.9866842607844122, 0.15206014428405976, 0.43486036268872247, -0.3813278091698151, 1.109774130802553, 0.7338982746247569, 0.48709688660654393, -0.8879994258306759]","[-0.1776565283437708, 0.955665568094263, 0.09024073102678154, -1.089864809439551, -0.07472385560866433, 0.04186876776844406, 0.6256702784085804, -1.80537060848553, -0.3706874118079045, -0.5823869626828867, -0.9092595521930777, 0.2757989428229937, -0.5537135079102952, -0.7269174289044831, -0.04728108561098521, 0.1374077134794603, 0.36674010610729096, -0.01144121055010744, 0.7862242762722567, 0.03697364301524149]"
