image_embedding,description_embedding
"[0.3047679781943171, 1.5491765688385368, -0.13078738399883633, -0.5143039879108198]","[0.7961320018748689, -0.03527299615692796, 0.5739079836602884, 0.5386416818079818]"
"[3.5805147219263223, -0.8325801206429769, 1.614781937154224, 1.9125290414297813]","[-2.9687645540970173, -1.4370343652541966, 0.03576603479814981, 0.2861617969252771]"
"[-2.6854325151306364, -2.31928447443864, -1.1462741886846748, 1.2256625500761156]","[-0.7347846369086896, -0.1702477854324097, 1.7090587645375295, 0.3844230194656189]"
"[-0.7507310800751976, 0.19495606972998655, -0.2657367090407663, -0.9309899832248687]","[-0.6731308072622897, 2.6779811179759827, 0.7266840849366556, -0.15391168720035162]"
"[2.6341592202718203, -2.1031740372976446, 1.1267019465305694, 1.0066364827005458]","[-1.5732327383641662, -1.7162710830613728, 0.8914319781954376, -0.12181834376799727]"
"[0.4631092225965865, 1.107880250052726, 1.733215870870827, -2.7782715975300554]","[-0.0763658933034502, 2.214285452242496, 0.18699111744961647, -1.8425949269078354]"
"[-0.001339289348549566, -2.4051887338552267, 1.6980258780337947, 0.38368130340083756]","[-2.3609453775730707, -0.08269167066133905, 0.9193639659545029, 0.19887330218011315]"
"[1.2016845140855614, 1.6954750706895134, -1.7498448996752547, -0.9922938598424642]","[-1.3409027239702942, -0.6259656176588624, -1.1165926160067805, -1.527377350928143]"
"[-2.176669452006265, -0.19945397106865495, 2.34190066855739, 0.9792342725818662]","[-1.2357494379756173, 0.8164365142077495, -1.2384544392296075, 2.1152609511268863]"
"[4.84604734411239, -1.287032358095049, 0.7457057618602596, 2.157158730923543]","[-1.7358983205363243, -1.5959909560972727, 0.6490465542182683, 1.0153771770708009]"
"[2.9317038489021088, -1.6532514200427335, -0.33227009165395227, 2.346758688053615]","[-1.8384683087000975, -2.013635539180467, -0.40169308911573776, 1.2136813164889375]"
"[0.8387574602488539, -1.6282243006018604, -0.24579592924075527, 0.8628796519499614]","[0.9086545679435708, -0.8270935482128438, 0.7056914011122555, 0.048035099067366124]"
"[0.8157656480541559, -0.8587196979083006, 0.8626162376556421, 0.5242804645025989]","[-1.437279427415289, -0.8337023867546283, -1.1104491687479363, -1.1846265731477923]"
"[-0.8903177367310695, -1.137689330950023, 2.7858394822201764, 1.3869182230077788]","[-1.741751740225987, 0.5424711529938865, -0.026059659035148085, 0.9708627268045142]"
"[-2.789357754676664, 0.8326906094829625, 2.3064814171691768, 0.19332795278607673]","[0.6280061779978197, 0.1749386651406286, -0.8181240421677217, 2.0653716450982147]"
"[-0.42283775069975565, -3.4425632570279427, -2.1371433751973026, -0.5231463256165871]","[-0.5217972311706213, -0.8049295503657711, 0.8718276562410353, -0.2624004075926375]"
"[1.0092480707535283, 0.3727327494011346, -1.0627205022205453, -0.38292878215617987]","[-1.1590729766491261, 0.21401874070463403, 0.3868717835915348, -1.1517263383392906]"
"[5.129771504788322, -0.05718828934387726, 1.8514076184725843, 2.1931821119714847]","[-2.572291228911222, -1.0713396337477836, -0.26152566745440153, 1.3291124198865238]"
"[-1.9200198723311348, 0.4971635634147967, -1.4436955085423755, 1.0522626013492757]","[-0.9424019536615661, 1.1642625207467565, -0.822347153416385, -1.1470745498315835]"
"[1.0445283351619925, -2.3082491280844875, -1.106534441600756, 0.7263865870440713]","[-0.8434649284600336, -1.3494562163916293, 0.722112489473065, 0.07465309338631639]"
"[-1.4781673858375435, -2.642103850318316, 1.000336400196833, 0.21019572768981798]","[-1.749219518268003, 0.475634429125281, -0.26115166469486945, -1.2845995927017282]"
"[-0.9326608665619638, -0.03732421074647684, -4.137353918758691, 0.3906680680681202]","[-1.243798920342822, 1.1925620300109885, 0.0635497263214874, -0.7529301970047743]"
"[0.5616999588911428, -1.6849067470474635, -0.1260482187247265, 0.3918587949853458]","[-0.6364518596544818, -1.692111255473313, 0.40146113255416366, 1.2199420074775669]"
"[3.535880573511814, -0.3444377798622255, 0.5426100419919985, 2.967634020037661]","[-1.7250636883061872, -0.622086749002504, -0.08303228478356975, 0.664310059697162]"
"[0.7863862930974918, -2.6804714027326577, 0.8269565426306353, -0.6971584688699708]","[-0.05194156343793335, 0.1661581650297746, 1.8803345486148821, -0.31543254027734297]"
"[0.6237019727356415, -1.4503242340374523, -0.9876785573171141, 0.06057684134945935]","[-1.7298701836670844, 0.3217064350880971, 0.07197215310368475, -0.7742415391523343]"
"[-0.7042838586962059, -1.1996993879822693, -1.0302702317434853, 0.37293592387943225]","[-0.5631057540077933, 1.2288897993408738, -0.5074089242922109, 0.18067072733168008]"
"[3.2343363857171434, -1.5166554033041981, 0.23182645253368836, 1.9380046804906603]","[-2.10050345514231, -1.3573787057931155, 0.829194425528517, 0.42657705696493575]"
"[-1.737712166293517, -1.3208848756222906, 0.8371184195457019, -1.0808329888058261]","[2.9929598450341115, -0.733291079082459, 1.578315867327338, 0.5308861527206501]"
"[-3.193506742435255, 0.4527942196920984, -0.2249099344496037, 2.039116146595198]","[0.4962354426431099, -0.46738066633467495, 0.02662160215242363, 1.338462055196295]"
"[0.6842338522493325, -1.7088676272351222, 0.6538229686313849, 0.25985630620571637]","[-2.123727685009488, -0.3165449184885008, 0.8520200525847053, -0.2957070710777826]"
"[0.4399846479298853, 0.46397315359282465, -2.8500651731879514, -1.2954035464299296]","[0.17861273398300628, -1.089324453097209, -1.4234447369903775, 0.1990522382384388]"
"[4.13726659080433, 0.10238071878433412, 1.3238878851725355, 2.443237901480992]","[-1.1856041018698054, -1.6766004032266877, 0.6577355323081523, 0.7956010494390492]"
"[-1.5059896161913895, -0.021363600527477867, -2.23559779573297, 0.14212836133734516]","[1.8555760865802833, -0.215738309881475, -1.5219908532087503, 0.0009951945746126283]"
"[2.4244275606772816, -1.5268180208720994, 1.1193281630536693, 2.587457047626953]","[-1.3173269791397615, -1.4105040958696542, 0.3807279617894041, 0.3600433236553922]"
"[2.0049932220570184, 1.98480812990982, 0.6925482300634098, 0.12509752656216097]","[-0.6610015555102757, -0.2724738041948761, -1.0037974544202832, 0.23090725631791537]"
"[0.42982626688180864, -0.37902224676619106, -1.7915538278928382, -0.8566497391572102]","[-1.1311071300412165, 0.41865975457457233, -1.2317739375227883, -0.6250556356217024]"
"[1.2146015180429535, 2.0973339666323545, -1.5795546337020296, -0.6937899886637343]","[-1.0667278432048963, -0.15987626954726264, -1.1937647196187329, -0.6533973885182364]"
"[4.221609102527871, -1.3206222245738568, 2.137995013570173, 2.602806151590756]","[-2.4410905633451483, -1.2493850933990325, -0.15158407234448476, 1.2664042915932352]"
"[-0.9345959177093096, -0.1607068105474435, -0.3991746783019542, 1.5235741799240206]","[0.991879310275199, -0.9585749806759748, -0.7159178502601671, -0.1281241230469685]"
"[4.451498400618074, -0.6448994005535768, 0.9030767296626034, 1.9979374787073407]","[-2.996582175084949, -1.561709253908588, 0.11159031159247981, 0.6317042694483181]"
"[2.2031016568386974, 0.6374529004167199, 2.049867676265268, 0.34745446493105314]","[-1.1066382237381462, 0.3866557254170569, -1.4534712926877604, 0.7460617163984615]"
"[2.0056184755564908, -1.8848359500715874, 0.6470395146762689, 1.4251509647345202]","[-1.9905384273724998, -1.420230950561375, 0.36315381463606733, 0.2718395912127618]"
"[0.1876171307537271, -1.79891480054922, 0.6469297569085152, 0.06455453638589154]","[-0.12027197594669455, -0.39585178928464376, 1.7078007567534692, -0.6586805930351438]"
"[0.3848970032235806, 1.5981247388967517, -2.860842744484618, -0.14200444537379864]","[-0.4676922066722225, -1.326988448067671, -0.5098963879113051, -0.820222837922412]"
"[-0.7298638509971715, 1.1430997731718646, -0.4980242531400865, 1.3516892244759608]","[2.0329429958279843, -0.34533323309446023, -0.8893069250668448, -1.5398844991720777]"
"[-1.8965752951193706, -0.2644479301408607, -0.7861914326353856, 0.17629078041745652]","[0.2980252955430754, 0.6465882540249538, 1.0890218239812133, -0.6318734517256156]"
"[1.508994115040634, 1.1702193737943385, -2.179238952287067, 0.4167291380636254]","[0.12637896172514648, -1.3150343735550394, -0.9901769999576004, -1.1471989870157338]"
"[0.49947422975718786, -0.14595330189012123, 1.9452716113943989, -0.7891267304071498]","[-1.797075873440868, -0.622360304298068, -1.1037698737743384, -1.0934688668621162]"
"[5.596699762422937, 1.890412181717427, 1.4790373970574784, 0.776072160452987]","[-0.411600340529512, -0.8464801901018747, -1.6278689058375897, -0.7873538090227511]"
"[-0.7822686252558114, -1.6026138564162324, 1.2139354481722935, 0.6926304863115488]","[-0.10446572618210628, -1.4928834101200192, 0.48020357339311504, -0.35474314672111057]"
"[0.18812443675214632, -2.5604159156772077, -0.7138406986878553, -0.1509294353702793]","[0.7173992645769103, -0.9223885813304245, 0.9766882694943243, -0.9089943578340428]"
"[-1.6787612206641687, 0.6363063995906036, 0.22382263241748837, 0.28832648393254584]","[-1.331537479274738, 1.1343801145322407, -0.644208815218852, 0.537690377244748]"
"[-1.5844759674978857, 0.8324474114341107, 0.2466807733800491, 1.7802182155972048]","[1.4300567204236354, -1.1563707126606764, -1.33877224401267, -0.4492970828575382]"
"[4.302148579867117, -2.027146231158483, 1.0749068429112956, 0.723386561649456]","[-1.1778215703324961, -1.9089795902814566, 0.9775946914367615, 0.37300887929862653]"
"[-1.7058669703052394, -2.2471937837024156, 0.823851993449189, 1.0452310054841243]","[-0.38546378922252433, 0.44615301334216606, 0.022377743430231026, 0.8100960864575659]"
"[-2.8880590392025196, 0.7320150517205647, 1.145064403223537, 2.2191466792692993]","[1.8712118720027155, -0.3937224516574898, -1.0008966770192278, 1.2535064845018944]"
"[-0.6227883080068597, -0.6999959316287486, -0.9549852984475256, -0.3573905533043138]","[-1.2341848396199455, 0.8700948524224283, 1.284021254825916, -0.6622552101448459]"
"[0.2585037157051651, 0.21628806425813082, -0.8733794322095665, -0.5792788418950313]","[0.5292632706653868, 0.7855830139411337, -0.3289009740776373, -0.9160973307978902]"
"[0.8708671523587747, -2.7029338641924414, 1.3046570185548283, 1.6674047954831404]","[-1.3161280560765545, -0.9146285775385226, 0.5738389314287019, 0.10030016582744299]"
"[-0.5114223986850676, 1.2601432174790572, 4.789647150459998, -0.6006053403936396]","[0.8284670581529885, 0.3083342737935125, -0.8095776797689096, 1.9637146924204383]"
"[-0.8808656064115756, -2.592380697244859, -0.9796199090447766, -0.23705363941677485]","[0.8471430034833367, -1.826915067556765, 1.3397886570638833, -0.6084422553691041]"
"[3.207018322335541, 1.2835746375557697, -0.13302430550751995, 0.04533830978949874]","[1.296999451238723, -2.341555986218213, -1.0434502856297565, -0.5827934347921225]"
"[1.375052728340809, -1.899904036963022, 1.4162216879307585, 0.7762817401389979]","[-0.10636606100120725, -1.3823042745601093, 0.6111731473772497, 0.8190779130448315]"
"[-2.088135835008576, 2.190295112210271, 1.0761600910363078, 0.178887523402744]","[1.4362125733832323, 1.5921329670384012, 0.16921890623056932, 0.4978463941464653]"
"[-1.4584235434148412, 1.2595632058892092, -1.5601336711955156, -0.16453963782795042]","[2.066540869528582, 0.5055041357132335, 0.42857244097446184, -1.3543684773774574]"
"[-2.5588972816326474, -0.4209613707640058, -0.7640922234286261, 1.6978145031532061]","[-2.6149614891598256, 1.2752289120715745, -0.8977556680976783, -0.701582900347656]"
"[0.5131031909679891, -2.7166001472641566, 0.8423290666042902, -0.94290742950488]","[-0.26094407675925596, -0.8946205251979605, 1.568394940121535, 0.6138500081586679]"
"[-1.379720004977831, 1.0685588248906617, 0.6811668534544102, 1.7001339204019157]","[0.32187816919494355, 0.3332868395738523, -2.106820277284466, -1.243787286319342]"
"[-0.1151967044828741, -2.273699564126791, 1.700981320574201, -0.42985161234879554]","[-0.42162293932586764, 0.19143098369224054, 1.8350588095278924, 1.1887219293527258]"
"[-2.082454256879047, 0.7199886624927578, -1.0314262730082508, 0.29983811678035527]","[-1.7327376023313066, 0.8602972787229733, -1.2872328775045663, 0.9589359941262775]"
"[1.7125855753469308, -1.528607994561636, -1.7638430702034746, 0.58208429650626]","[-0.4751905901336012, 0.005815715178763135, -0.0383643447308677, -0.7055268882082636]"
"[-2.658641210262005, 0.8275008220338549, -0.3816807683551613, 1.4704846069621331]","[1.2281825549433305, 0.178862662874273, -1.6829501427765174, -0.24094430438523404]"
"[-2.6424119585828194, -0.5824619710807665, -0.27771965296672074, 1.742078332113412]","[-0.46708619264135876, -0.16000469130218095, -0.7231509432474456, 0.8321044238369794]"
"[-1.891678908801491, -0.9668930243822209, -1.1879040057301593, 1.602363756091152]","[-1.1914058871564788, 1.4908704501353922, 1.055845682634907, 0.7899597417312906]"
"[1.1896087873599033, -3.1918161123561757, 0.7158300166117622, -1.2757526969222797]","[0.08590142760765071, 0.3390422071562168, 1.4205679996200622, -0.7236240572558503]"
"[-2.3594879656312773, 1.31305654048668, 2.714428687828285, 1.8758598476985684]","[1.3016838970616091, -0.3204230858561046, -0.6977027472907773, 1.6915036778733483]"
"[1.676626305309394, -1.7570205738657094, 1.1196373005003082, 2.5678243144455206]","[-0.8101805175096585, -1.8237666408061795, 0.3467829779235311, -0.2751750219709849]"
"[0.18908668494920963, 0.20911007100432266, -1.5653504117883585, 0.13086943667731782]","[-2.027873954041358, -0.5824828701767192, -1.1949842904190646, -0.5518266599310491]"
"[-0.9586504659665661, 0.035206923320469985, -1.9522990990140212, 2.8224862684063954]","[1.8611673446188668, -1.4383531227566062, 0.11580130879088148, 1.2355672942641724]"
"[-1.6148051179075926, -1.4241689823435866, 0.030960441919638666, 1.278259561353213]","[0.6744691988599435, 0.4441318896618714, 1.1306251576865252, 0.4674925017826128]"
"[3.766802434449731, -1.5752897047456957, 1.2587106256285325, 1.0386517753500364]","[-1.0751679910243652, -1.6660477787276855, 0.5153796205453859, 0.27509690502673206]"
"[-0.3511196261416229, 0.1353992655022969, 1.960986628293658, -0.25881473829924573]","[0.2773592209232794, 0.6047605283200999, -0.3169116078498436, 1.0048247140688542]"
"[-1.1223411225292093, 0.5770633730572278, 2.744031759811317, 0.15730208193684703]","[0.20212568140667184, 0.6457365252721995, -0.535802188842376, 3.016525255498706]"
