image_embedding,caption_embedding
"[-1.982489610686103, -1.8649689894705812, 2.80148191924499, -1.6368359156435506, -0.8625605913161237, -0.7159770719959837, -0.9365748308983545, 0.9846565079575978, -3.0283094271661586, -0.4588621948816353, 0.6869653554870695, -0.45700393692626706, -0.42056321024412646, 0.7972512498990976, 0.23976155725349224, 0.1495494619839881, -0.8985084363849545, 0.36115729151881953, -0.006712156010637279, -0.30859766751518025, -1.1292413242703228, 0.6017942088303617, -0.09587270834524805, 1.6004216521607322, -0.6225395352539895, -0.5131571636496444, -0.4214854022438962, 0.6632571596652641, 0.9708131842333884, 0.8150871328620054, 0.26000975796523934, 0.8845369037688682, -0.41637152330710986, 0.21995291155857738, 0.5116205839551017, 0.070806023470345, 0.2501923681679345, 0.14565343786576943, -0.11783432333675371, -0.615649945490709, 0.25853789559900703, 0.5157748384435566, -0.40897776161338967, 0.3112692392283821, 0.29827798405559974, -0.1070919150917816, -0.1619503462873569, -0.3183940349060307, 0.5824703406598617, -0.4997802305861808]","[-0.3708533297674851, -2.137347313378877, -1.2123553432053895, -0.35412372401077874, -0.9642949451843469, 0.15403594662699585, 0.48475775265177046, -0.8125562354165748, -1.0616497009489476, -0.2453743937137255, -0.7524106638695369, 0.5777594198264229, 0.9352894425079582, -0.19352925095368742, 0.16958845748446755, -0.20437132170051, 0.3891562486722387, 0.47605201341658615, 0.46782983529344135, 0.5518352138902811, 0.43947620389504644, 0.5551891915956044, -0.5940170567411175, -0.40188009323297386, -0.559637108253109, 0.07557402654249366, 0.2869253572598024, -0.19344904634094345, -0.07373542031989548, -0.20880715107388742, 0.17453259598023277, 0.2716742405432154, 0.05366016219887229, 0.3210872239461028, 0.30836385381869375, -0.36152884634778965, 1.0145102577116731, 0.8236654757466927, -0.3422707367507246, 0.24055854052076303, -0.3338665569132642, -0.06612342260745557, 0.15271694717075768, -0.00997541168260421, -1.0251617447492953, -0.122736249393356, -0.23147016493878667, -0.4502396002158915, -0.5419691515078795, 0.2474698562654321]"
"[0.3536325665423191, -1.773125977951956, -0.7452602166071063, 2.588465035042084, 1.775704939736847, -0.7057452547460464, 0.39885779255744197, -1.826075371743144, 0.3430076341345664, -0.04383133699739808, 0.732181196691934, 0.9275628861955506, -0.21014050593502367, -1.0429465099197093, -0.6960557526737922, 1.154572904469197, -0.22211507661106505, -0.24243027559340535, -0.16177420571810655, 0.9189007524441553, 0.8994592504642329, -0.9197680621886289, -0.07685195582782191, 0.46953696066762274, -0.049017295504817746, 0.38157866724863726, -0.21117445684573116, 0.2785268787882532, 0.700715415508284, 1.3711249886779382, -1.5773908699918613, 0.23675382500244527, -0.5378219199962474, -1.1677031588352673, -1.704362899725733, 0.12813701942705719, -0.8954405008211801, -1.5935495674529638, -0.7088954063707626, -0.6228321624548281, 0.9922516716918859, -0.38199248670028724, -0.6121319134916847, -0.050108820003437186, 0.13803216615328542, 0.30218819176346734, -0.4004603061712361, -0.3378259156932687, -0.3147587304146677, -1.3995208326588084]","[-1.8769643627247912, -1.535081277089739, -0.30470252084547234, -0.5412272909317664, 0.01137533326151398, 0.14374771860156027, -0.2937181378860253, 1.3305796919863322, -0.79437943495752, 0.07368576811084547, 1.4159715190597917, -0.9684456598053609, -0.7228251313378717, -0.8218064139353277, 0.28851681902161136, -0.1875423942188411, -0.5142029890864788, -0.9514234990697463, 0.2961598188349605, -0.10796618853522667, -0.28567632129374815, -0.5589792375879818, 0.27367539160347015, -0.21750423940137092, 0.794699936862268, 0.7410222426926831, -0.45009344645458127, 1.012929437757769, 0.6294643371968218, -0.9525678549370032, -0.4940933674695917, -0.6121804091870071, 0.2356964439468357, 0.1836406700437773, 0.4460387209826385, -0.06194022558131245, 0.5503003466127342, 0.06206035220895631, 0.46101948425382605, -0.17169399777362093, 0.7895854218442258, -0.5010615207268825, 0.3266572989250943, 0.35528698649821117, 0.2482451943657583, 0.34205490336527056, 1.5546134952294979, 0.07972246261076336, -0.6463524745768682, -0.3843022157705803]"
"[1.0851735213732565, -2.2270559812900137, -1.7072207433187265, -1.603820443878606, -0.23284708119879818, 1.2818308284716557, 0.6045045726034902, 2.65227645870374, 1.0087754052397906, -0.9384274146697964, 0.22247077922406552, -0.5124729088227564, 0.17631035169594528, 0.3646070645924973, 0.6564720537477198, 1.2440680231414705, 0.13517055795809638, -0.4495119177889787, -0.02077432368584005, -0.5201560043648678, 0.7265384230095481, 0.2580704267000765, 0.2207093156049186, 0.6163465164097601, -0.8065510613086061, -0.2927605753789054, 1.307051437846523, -2.0780307640558555, 0.8967335444648754, -0.6401264153840626, 0.38335460720434994, 0.989678972922538, -0.11473417281433404, -0.4366681600410253, -1.4771245268922237, 0.4519282943370091, 0.6007746019360828, 0.6913144726767321, 0.0714861995484954, 0.35897541085799667, -0.05339609635198048, 0.1539485195896232, 0.6139662938646718, 0.3830609038793075, -0.4110757009189485, -0.32339519751272167, -0.4526594122599977, -0.4098774384407672, 0.38253032600312886, 0.21905827292455216]","[-0.8732118770412233, 1.378751274850903, -1.420255437772978, 1.1429142692843959, 0.25060595566033467, 1.4788554901956523, 0.7014474455122388, -0.1407877739167001, 0.20489890817686568, -0.7356655757650195, -0.047127378536907384, 0.6487898550988451, 0.5535589799379453, 0.08279988909237417, 0.7526283175865687, -0.30548901660359806, -0.2991532825654208, -0.5263638207388887, -0.15797141587512972, 0.4003716152955283, -1.11099539246101, -0.3524017318688494, -0.7654242613964848, 0.17864574000661052, -0.6641775671028775, 0.3107095399716486, 0.8505510103355353, -0.4220263890296477, 0.383913322461331, -0.7457456482526486, 0.030906543658524497, 0.4722985076217331, -0.42959874573219836, 0.3746913310048974, -0.6149204952948759, 0.9676190432158169, -0.43413534143294835, 0.3020362540848775, 0.28293298713265763, -0.1209239952602329, 0.5761171411239497, -0.2395397129403023, -0.2218013165342387, -0.14890694833104853, -0.15239009723003677, 0.06557429598505772, -0.06839756292504452, -0.22725809444917836, 0.09644143315571992, -0.2644413312076202]"
"[0.7836717933087192, -2.506557474234438, 2.003213651836572, -1.4246528782708336, -0.6955338460248224, 0.37717268511381846, 1.010187608417061, -0.42080789847809164, -0.9563943091909408, -0.4146930158045194, 1.7783868989511555, -0.17172484848924038, -0.07842943649100757, 2.665025137699689, -0.06362287818097265, -0.18095514179187053, -1.2748426661914702, 0.5264170667429973, 0.698800747910254, -1.201039846245578, 0.2353890401144334, 0.2622451983411654, -0.4097826122407885, -0.29243014897940417, -0.11712528627693822, 0.6217347699985587, -0.6635020271984841, -0.050542120216332656, -0.03075212468300667, 0.06290980675477612, -0.8865896280446026, 0.06804449370845997, -0.4649321621248609, 0.4392909710896884, 0.13794096684365115, 0.1545320789381032, 0.5060545680577447, 0.27374945034640574, 0.11319453929900115, -0.04856495270593494, -0.06126310181572579, -0.11347132963444444, -0.3404324099099594, -0.9014169160911408, 0.7323100150325362, 0.7396376442081832, -1.217433018902902, 0.15125949954057952, -0.9622304175665382, 0.7653846749755414]","[-2.862764848746401, -0.24036474483680573, -0.7607528636510978, -0.6045969841602024, -0.48663680725641917, 0.14953225653341123, 1.186145651049763, -1.1332582063745387, -0.7702155249264067, 0.0609848563118839, -0.9982610804588651, 0.6064134649180194, 0.13796490926363472, -1.0061879094242412, -0.25540472753121346, 0.6357964430753581, -0.6290820662075094, 0.1397433227223238, 0.79646449987543, 0.10799966110081291, 0.07065358434635093, -0.015909761404398207, 0.5848647888821374, 0.30948043174532536, 0.4251914774008612, -0.3411558139969316, 0.5217524334748527, -0.6108108741860889, -0.08396206367463607, -0.7116704096217301, 0.1860593385759775, -0.7229795008575978, -1.047326080150007, 0.04997290050138607, 0.014370085257018026, 1.046070707898542, -0.6923299803683258, 0.627502207068241, 0.30870208254418313, 0.970490643292066, 0.2929306063185011, 0.9532697024397963, 0.012454570319711445, -0.33340682389743237, 0.325963625835437, -0.34573457803578894, 0.6718341998685049, -0.3982803758760339, 0.512756031034284, 0.12852808449704448]"
"[0.05758920675751665, -1.9660901626804315, 2.8283287205885483, 1.5003291281289906, 0.9245719110271606, 0.134554744373287, 0.1110224737992808, -0.95801693571202, -0.6678001858606243, -0.6935814358722416, 1.1291219323656525, -0.4998713395427583, 0.0812928185054449, 0.6210053781131992, -0.4465317142165026, -1.899607483336662, 2.127413993635216, -1.3558212107386611, 1.235401967884998, -0.8540803251134439, -0.9360966923015429, 0.36167090524431916, 0.3980413762727167, 0.2296715012205544, 0.6428158756293298, 0.545376446591155, 0.46059024249500724, -0.5597103557764831, -0.8823650380448655, -1.4059484630311032, 0.04278569756087287, 0.16586702042120643, 0.74552625756694, -0.09712207345823683, -0.02432412491077759, -0.2511674630575532, -1.2874190625157262, -0.6602998807244223, -1.200366698167498, 0.6236638577267708, 0.213816631661269, -0.29893162146203023, 0.4452153561620531, -0.47601418380216143, -0.1762651412641316, -0.47245746225990737, 0.6113044467812063, -1.041605396134688, 0.4216289552544497, 0.41475920829812524]","[-4.727119769948816, 0.20083820418644233, -1.9417036395859792, -1.6579899839991767, -1.270485922968476, 0.4365818160076923, 0.5766217878470573, -0.4731811548777528, -1.275782324961767, -0.20561441143001938, 0.4310929188693097, 0.16884510912699507, 0.8290620898348458, -0.5548082182440425, 0.08774669801799255, -1.756764189073024, 0.3184160191096517, -0.4153405217496781, 0.007267503825059669, 0.9663979179458085, -1.0970481995940395, 0.07451334905472057, -0.05908221628065553, 0.21247129296892497, 0.8429569741041191, -0.24592893861723616, -0.7631625054162493, 0.26791007443201725, 0.1486437003830877, 0.9123436080966564, 0.10666534983697437, 1.1202735657761644, 0.750736277665004, -0.6230655948475626, -0.6364495767689793, -0.8341845459061968, -0.8211561937272139, -0.9065575396603475, -0.3565679785925534, 0.4168775237505798, -0.10775432199654873, -0.09300494652057424, 0.09882984774412845, -0.9038326221387104, -0.1739898494877309, 0.04622058691682752, -0.32224025994836797, 0.6682576949516636, 0.287352657303596, -0.22128000078094232]"
"[-1.901548952162339, 1.0848358293570868, 0.8897353347950584, 1.102610023564821, 2.169414530299847, 1.2873436796556514, 0.5898404894895591, 0.0781147225225911, 0.6585195076849841, -1.1215694893151478, 0.0310982670256176, -0.9618336093988537, -1.582850794327243, 0.5126139421662039, 1.317135203638313, 0.5826118201395306, 0.8225632019967588, 0.30735530979689263, -0.595601925358016, 0.0321612740228406, 0.4100859783623643, 0.21698041249838493, -0.3726803386762775, -0.5789654482376371, 0.7338469198483933, -0.9485775062665444, 0.862459930770828, -0.5054621230292295, -0.11220699791859254, 0.22519910989349062, 0.3757945147089933, -0.40768316443033564, -0.42314955969135515, 0.6521866116117386, 1.0770544513022762, -0.7321667990544649, 0.800721283497468, -0.3382428288368181, -1.0301883740519675, -0.2577784483795681, -0.43130947231797045, 0.8247908135771446, 1.2057829913077058, 0.2816268763818428, 0.17829969268219126, -0.15662609338975308, -0.1727160817299301, -0.04550562961066336, 0.8108648928218458, 0.019670801048605246]","[-2.6063396852521836, 1.9074239723129471, 1.281655306216581, 0.6034046942278446, -1.0121639309222246, -0.7290812269277495, 1.134399996627869, -0.5610490221101664, -0.6147912599292952, -0.6564205488759675, 0.9196940243284193, -0.8171544654235603, 0.06195410612873904, 0.5111233086617681, -0.22786019059522128, -0.18439740613972097, -0.8739605163304727, -0.9348551364419643, -0.7282718015944425, -1.0355516397133402, 1.0468680444750054, -0.7401575481330709, 0.1411222607375489, 0.38317530296043417, 0.2073962571338669, 1.161422287032711, 0.447438487688739, -0.17107948891736363, 0.4096074293825474, -0.34744885627392674, 0.27068016881018503, 0.077146946163829, 0.39682370433539904, -0.44677418851234185, -0.27228631300361306, 0.05077337065635352, -0.24595512761654933, 0.002099591690399209, 0.24059782831987445, -0.415710228785394, -0.0013797319463776823, -0.1902536231967367, 0.48488040884848077, 0.5004231693814414, 0.19029051438524136, -0.27135346970905566, 0.02702240914586492, -0.28140453396052056, -0.5528219923439488, -0.3494206657739866]"
"[-4.503213923142988, 1.5273648771606039, -0.39560576065188807, -0.7495772925787897, 0.1467519160488545, 0.25174752225445796, 0.3602194082103343, 1.543631835649057, -0.8560164422498815, 1.6334573796134504, 0.655841205935975, 0.014241767750340343, 1.0682905935314508, 0.5777690169505892, -1.3018678290932681, 0.8764169463548704, 0.6715585906233862, -0.614571388797789, 0.4141412661591423, 0.47883504538343535, 0.03526993610770978, -0.09251874050150143, 0.6484535352843539, -0.7032956200737795, 0.5794657186833588, 0.097612664433293, 0.41490839748861247, 0.24918156970577757, 0.9139229793170512, 0.060977605907534455, 1.2346501575983724, -0.025354288987828367, -0.6618316019401607, 0.540914291429171, -0.19204854077543218, 0.17758861960152536, 0.2332905656560116, -0.03990180148138095, -0.6094055184106956, 0.04538202755755427, -0.20424907773091475, 0.3088845707853461, -0.25852476132384167, -0.6195833716974902, 0.3755085902317104, -0.37757953294864927, -0.065500833094243, -0.8373134509918033, -0.3571958476457483, 0.6127988146223495]","[1.546555610161493, 1.822461651422658, -1.1739162362734294, 1.8560707104880243, 0.04908777578127722, 0.728546778982759, -0.44821764625952115, 0.7426010961828037, -0.1577617465618544, -0.9600002504100968, -0.29165383267041667, -0.797612369512211, 0.05361853547676925, 0.16505090270436157, 0.1153498039644509, 0.5144741928689229, -0.2797597625755344, -0.7024071664097777, 0.7632597721390506, -0.2129640890819899, -1.0762388136009515, -0.3232196738174242, -0.40272255351140845, 0.1845046902958836, -0.2342729140086618, 0.08918356117936879, -0.048439731124452955, -0.5908359522643146, 0.3794793702887535, -0.475503426289409, -0.39655199267937513, 0.44656532407676786, 0.14320866439731922, 0.5315640722625934, -0.114854459868446, -0.07920257697664412, 0.09276048477770327, 0.0961675596377208, -0.36671106346519716, 0.5614788813161197, -0.2971036090354693, -0.10376623045786158, 0.2471997420529254, -0.04959352979711178, -0.2548100269150686, -0.05895927883686236, -0.6807571834101972, -0.4101209918626035, 0.37361672620075065, -0.4767254846215924]"
"[0.15172922991348445, -2.4226338863293244, -1.3216761000504342, 0.49794354082623854, -1.3835079362594025, 2.1085178231263604, -1.3574143808613242, 2.3156153557117176, 1.2610238160398857, 0.68007332962799, 0.15542787389776516, 0.27047276666619136, 0.4109732251051342, -0.5612570920936876, 0.4119459903638621, 0.19198426658323267, -0.3599306300458937, 0.5457038519503764, 0.7112662339632435, 0.7078026576111354, -0.4425216590253313, 0.458226137475461, -0.911938216527227, -0.6088369835997199, 0.21402495479738384, -1.11028184257699, 0.8740564546131626, 0.7193313238205742, -0.15910739951442737, 1.1672468133763771, -1.2665616473229377, -0.5364639629153457, 0.46951476761684263, -0.0575292468178651, 0.6859572989847799, -0.16862094431698513, 0.16978496760892667, 0.42705950138256943, -0.3506205769329134, 0.32591747396700615, -0.4529113192032098, -0.8776636136143879, 0.28797524960843096, 0.26885350838363326, -0.9338657585283318, 0.14508128318057079, 0.25221055370215456, -0.8422483366165898, 0.40932967500302864, 0.03775590029558173]","[-3.8188305101392963, 0.8705845668139143, -0.784738898126008, -0.7982091627722134, -0.4629832415847837, 0.17065409072016804, -0.3902938869094824, -0.6373614368055677, 0.16234266171589368, -0.021540477704585986, 0.1835395530065333, 0.6309630504998142, -0.42348683553881233, 0.7918761050739581, 2.0590793138427013, 0.7334832451635254, -0.018686646121997916, 0.15509658508126356, -0.7435760029837026, 0.5171564568372614, 0.27349171705358555, -0.4525023994327979, 0.8704076773477484, 0.11859138092814435, -0.48475933922806397, 0.5193553522333924, -0.8754533368970628, 0.020705970815033257, 0.6959787350744395, -0.20953261429728504, -0.28120726960357256, 1.0418206035622197, 0.6384630070400136, 0.0087378791377074, -0.17192828239708882, 0.40144295889347914, -0.1336835764403402, 0.3779157966129407, 0.5095068374334011, -0.42388279646780846, 0.45136479426603027, 0.3254298231194966, 0.06602017547378419, -0.06273007968075933, 0.10784191740647804, -0.7578247096004883, -0.9543204080198978, 0.2198098692727256, -0.10600542701306999, -0.11919336699188013]"
"[-0.6809580479985041, -1.9888879957380468, 3.0936547719386938, -0.9355357012293799, 1.6403831147347505, -2.5247438867372565, -1.3831533987531703, -0.18652026890763682, 0.009230889238753847, 0.6964420308137057, -0.9100809042730394, 0.11877495119590382, 0.35584842079064105, -0.015400827196329079, -0.9017957494591416, 0.5685743340357451, -0.09363470658467847, 0.513227083956801, 0.22258033706095023, 0.732739808264771, 0.08667811927597899, -1.1716610762807842, -0.45994758686338494, 0.08716299523844735, -1.3798104558406012, -0.5313510049307817, -0.29667334168182374, -0.6057739240276193, -0.6342643306841692, -0.1672559675212276, 0.9791428532139862, 0.3507743634079982, -0.6561919200890125, 0.007748220892247842, 0.2783726142689039, -0.07298268244298647, -0.3284226967118414, -0.11490666316978955, 0.7659614266098879, 0.9065433516331866, -0.3253182011096723, 0.5839693537520387, -0.16606686104562907, -0.33337923028751626, 0.39082347692491104, -0.19271872967868978, -0.1359530056355427, 0.389312107437775, 0.4697652328799385, -0.1964007415128448]","[1.6694041303015612, 0.6543365755970685, 0.8033176061247737, -0.7141306295337814, -1.7558944941424202, 0.2284651178680759, 0.608250283465283, 0.6932761839243115, -0.10594848966957023, -0.3719843467983479, -0.6111040010744605, 0.5121314882511468, 0.14152854456197483, 0.21522434885574632, -0.3162640699159186, 0.6285634868703546, 1.09155490251533, -0.2277104851984609, -0.27503521331827835, 0.5655915992162595, 0.27550035502841613, -0.2049011909422255, -0.5137334413622555, -0.7330826552430727, 0.11420871391389388, 0.22504186358930264, 0.45133055726201127, 0.3364962167509542, -0.36791302667913695, -0.1989204522725621, -0.04695180388428058, -0.22566747220468297, -0.5191760144154598, 0.34341793911931423, 0.1391581969700479, 0.0019741142988505904, 0.19293233001951374, 0.2752061633584104, 0.4992595466624294, -0.35336798418355486, -0.3644158042014319, -0.34147887316712794, 0.16927803813907816, -0.15325709580445196, 0.37547041984320406, -0.23119989134925095, -0.2045721236912132, -0.23575895711391937, -0.11684728348247508, 0.19447108029829752]"
"[0.14324792119137092, -3.096367748508027, -0.35904133569172, 1.569707812337741, -0.9111112732397867, 0.8076836005830109, -0.16269810337333449, 0.4966438226981635, 0.8199952030275973, 0.22339415644914434, -0.5740508985494953, -1.2655487893949557, 0.28236904688177095, -0.07186505943549414, -0.6811006459752581, 0.7318662354399703, -1.6526618144552203, -0.5329510840845563, 1.3790229261935811, 0.4390584408134277, -0.659149037180623, -1.8744729417251702, 0.1968186622277813, -0.08396530556992772, 0.16664048312044297, -1.1641938479225256, 0.07128817845715653, -0.45242906169160346, 0.4735757294494992, 0.7962368415505774, -0.15000356187880906, 0.682181930980228, -0.6863203040467128, -0.025636673165850506, -0.6113484297462514, 0.21620693914551742, 1.2918058315111314, -0.706976332182672, 0.7873251279658009, -0.7902900589792948, -0.39768753499288634, -0.5687272548567976, -0.12578070019966947, -1.3109029007892035, 0.8103567317358412, 0.23728330732820224, 1.048727880068275, -0.5512017208607004, 0.48023786260223195, 0.16939135437629657]","[3.6659743996553513, -3.690907422400869, -0.4216456347697325, -0.05710022695790177, -0.09861812688938897, 0.6581538414826359, -0.8101390878240768, -0.06965507693535883, -0.14113354988779522, 0.5276107704180752, 0.925879625610799, -0.4845518292767535, 0.25561004848634367, 0.6167007681436476, -0.15646153173525262, -0.38647997765401304, 1.035750638904597, 0.2803887105841117, -0.5896562545424744, -0.165392113418514, -0.19784724977546836, -0.3132643088191055, 0.4376923610959591, 0.014744301258804469, 0.008438684884465834, -0.6108731240267613, 0.5699454685203224, 0.03724233906655707, 0.20581746676722315, 0.38876440926536815, 0.19955382829476295, -0.10740157246918712, 0.24926150369266067, 0.36726907674789194, 0.481138434077399, 0.2879058437861062, -0.09774733620248616, -0.3826747966509489, -0.1201208909138795, -0.009753192138844147, -0.14298291104901434, -0.27641550759391637, -0.12904775411557712, -0.528104894639383, -0.05761223753450156, 0.24897674933310435, 0.1138223633085162, -0.4870614547735455, -0.007523084657628475, -0.1640723321835251]"
"[-0.27022667862651756, 0.12740222261812228, -1.3911289869387193, -2.386561786768828, -2.109871339391023, -0.4537933843906159, -0.9733661166830148, -1.3307415814271673, -0.36054764344347723, -0.25196888248421384, -1.9029393000906527, 0.0038416219168626734, -2.369225899675795, -0.23094136307333374, -0.19589649844413337, -0.004579999289862521, 0.5604186923409821, -0.7824404073276479, -0.11754331796162493, -0.2536933339668577, 0.6206480658254611, 0.5493484701492075, 0.16296117613428865, 1.2313921938816206, 0.8480089290131219, -0.6117162529850182, -0.7097124552813783, 0.6188320439825507, 0.03431886288644922, 0.7897849242752549, 0.314571813773708, -0.10593454266453917, -0.1497058807459367, 0.458281435606692, -0.3390538259434469, -0.12043130332694009, 0.6775949018187161, -0.7684256995946244, -0.5668646364828183, -0.21795658794432926, -0.09998378058900062, -0.22598379840468155, 0.5706619268672569, -0.4919588016490834, -0.07688561518423676, 0.8093801842434244, 0.6537826556000096, 0.11789728908038956, 0.02212489328047093, -0.0762099339980807]","[1.3379960916351323, 0.060579487325982444, 1.3251633936490566, -0.9722214134724645, -0.9399054033687271, 1.0052438155634857, 0.13707236150775906, 0.2258296862987587, 0.5034803921649755, 0.3618037960350078, -0.87414860829004, -0.3117865835526588, -0.7959014242548804, -0.773500786247323, -0.33338946158295574, -1.3748746568877357, -0.31066040571772935, 0.08520760987287809, -0.49699298402117575, -0.16217653963571058, -0.2304510367301313, 0.5330512804778407, -0.6351119944615684, 0.2769585333752584, 0.14517625533370437, 0.3656866255062634, -0.3748120420294402, 0.2217420849823699, 0.08587258142260447, -0.4665551777786275, 0.002484473282516897, 0.30112880611093845, 0.7903273636350079, -1.3694680611896914, -0.2766070322234199, 0.3331281463488686, -0.32873797903643864, -0.056693396455038195, 0.05669956856887469, -0.9837023368290151, 0.16087548949998132, -0.14531841940809986, 0.40501119805536906, 0.011837516360096926, -0.08429940540306172, -0.09039356295231768, -0.056190182090972464, -0.38195944288083505, -0.09513576125265913, -0.13356043149090496]"
"[1.9603688539135842, -1.853237097825618, -0.5269199182545227, 0.7311695034627771, -1.0536285750630527, -0.39945305049442337, 1.2420807319755682, 0.18495720381219866, 2.255777813083873, -1.4787947709117684, -0.39972273880528686, -0.5041580368974597, -0.05095589128817232, 1.97742184699947, -0.28934283052338894, 1.3867890105603216, 0.13763384472105433, 0.3049190566870645, 0.5387208874698679, -0.1901697891053547, 1.6259662470479206, -0.9710273876450201, 0.8780153603479612, -0.08966463191894167, 0.3304475273661839, 0.7428131652366875, -1.0138851733715155, -0.046537796386281895, -0.6614950093415636, 0.3209886077444303, -0.15717028282047796, -0.4568775692464212, -0.12708021345929585, 0.09969546017263241, 0.8972555161082327, -1.0362229965614915, -0.3588242457322636, 0.44760168460792693, -0.5743145533980575, -0.6132955464010157, 0.26478726334318337, -0.022843870485847, 0.33726678070672633, 0.6152855593702903, 0.7448311578825527, 0.2220714877594706, 0.4040833582409897, -0.4635163404771483, 0.14799319945919895, 0.08495739818827594]","[4.0075621346319465, 1.2833526362933336, -1.5004000972674083, -0.26767922433607677, 1.1076686691264819, -1.7203379323834043, -0.12673719245999512, 0.11500675269573356, -0.11227218896836202, 0.35828512943365987, 0.3935524715129486, 0.8656431533610444, 0.14756312018660184, -0.46471743312931124, -0.5629326321847543, 0.16222226758132618, 0.2665107725030371, -0.22177564141455303, -0.07706418651701254, 0.08236956697766173, -0.18293183869271232, -0.551477794746485, 0.35344084314048574, 0.09880690122629299, -0.19267037410956683, 0.03717722698245359, 0.11921141092398874, -0.038709891098838725, -0.15498777780083256, -0.0319736283376529, -0.10905312582548926, 0.06703904797041876, -0.19587930221354335, 0.07419112607551791, -0.07955525518927761, 0.21694565675456048, -0.28011643050149077, -0.05442097214912531, -0.005596968069990514, -0.032469837764491326, -0.1602438119474644, -0.12002857608512903, -0.03265728040493607, -0.01191014700423078, -0.08476028089668843, 0.0549809482753781, 0.11366883598847081, 0.0805412897495882, 0.04247598576720269, 0.5720207534696362]"
"[0.4092521869504441, -2.0759879814344178, -0.7027495936886201, -1.978581764222981, 0.8234037273916424, -0.8961852913769948, -1.4658876399117626, -1.639270210123147, 1.8639327901321117, -0.9357147694191728, 0.41021560731206547, 0.31929350465168754, -0.48612775296783595, -0.9388894034329393, 0.5279103160719912, -0.30226591621097926, -0.019345196750892833, 0.444020288912597, 0.8001111786061963, -0.9389658343802402, 0.5589516229820619, -0.6230678805736951, -0.08571383439751627, 0.42257558756401775, -0.3677102380585441, 0.934331787981408, 0.8739246758790264, 0.43829491032894724, 0.9646774693987562, 0.3772447689710234, -0.18150410582367663, -0.4235044502201674, -0.14846165022259372, 0.1319184376380045, -0.2476484462342128, -0.06786357381926725, 0.2543254570124248, 0.5191883446279524, -1.216147001000383, 1.2251927647689471, -0.7242509666090489, 0.6244804746032387, -0.06277563426716903, -0.14185105255241243, -0.469551510315926, 0.29945359712148484, -0.2776615413724263, 0.8034725102576858, -1.1911832871022001, -0.2242403449921354]","[0.21045624601378676, -1.3522532172401756, 0.33578959900648814, 0.9946671392870763, -0.24669740555224975, -0.7845402277921502, 0.28606088004959246, 0.6278434817570644, 0.20935924238148737, 1.1998181253195908, -1.4772467151960333, -0.6885813831337391, -0.5705681681505311, 0.003870573650675762, 0.2129822527550731, 0.48238244175691214, 0.4461546130813442, -0.7535827689672859, -0.13098828526083853, 0.6407990280019898, 0.01501683503778316, -0.004585265820476907, -0.18150647454368646, -0.8620829901094136, 1.0777940493401237, -0.07132264715312008, 0.8186539182769651, 0.4159253414212563, -0.7508601938210565, -0.7462418597863096, 0.4550095042247079, 0.9731399224876075, -0.5179131519521053, -0.47985266963534645, -0.08357407359941729, -0.3766378424521932, 0.7787766774325942, 0.7789772024440984, 0.11000879579325994, 0.44184058938982773, 0.2141677012370365, -0.019922619132146362, 0.02619459141995812, 0.5075749905911273, 0.1756099541642509, 0.2860344782815345, 0.41877325688454586, 0.5345547907026558, 1.2765333898610358, 0.17072243443628593]"
"[3.195040387300566, 0.0808141774068856, -2.187941550569198, -0.3903415434521842, 1.1909604406575867, -1.6774596993921105, 1.209179445468122, -0.43243029130974264, 0.3612816080019886, -0.3870151587110701, -0.23633929136756726, -0.7619667731897753, 0.38985801726834235, 1.4873464473317957, 0.8282982146471929, -0.14387991185105758, 0.4228351293450586, 0.5279594332572929, 0.31822107850404263, 1.425365956901587, -0.26635241179405683, 0.8440723988693972, 0.749530179926877, -0.12488065173523766, -0.07321445193104587, 1.006968951507851, -0.7870115006058325, -0.26475110753326764, 0.09779230621763886, -0.1328068256555841, -0.5359349829513697, 0.3072159631624285, 0.9641830344134462, 0.9640757277381258, 0.3079272520241076, 0.36003721075388284, -0.39954803249834625, 0.545901415515268, -0.7807006174119554, -0.3726557310844785, 0.6130726862036698, 0.11149531804474898, -0.08844569131150495, -0.15954651154057337, 0.02883790486272277, -0.912873370452575, -0.3178139336641217, -0.07934233987560074, -0.06683827327293523, 0.17212909635177479]","[0.9799768437932442, 0.7960431215574436, -0.7264855822475323, -0.9775353464830655, 2.1179033151303885, -1.31970836716374, -0.12938689721104227, 0.40629949212768257, 0.30100414551425075, 0.559876381609838, -0.01827009118343629, 0.5101767419052108, 0.0990439868478813, -1.0613175043109577, 0.38249226411300674, -1.0528024471323254, 0.403812344636629, 0.4019241629301125, -0.11002792834492525, 0.045426434344838396, 0.4960715544578653, -0.9718711710196503, -0.38926942122312547, 0.280925939567893, -0.12002445021766567, 0.67219122979683, 0.904548716827423, -0.32702141582206173, 0.1366514667605698, 0.46695361969415594, 0.27981479758871886, -0.03853422986681526, -0.5399617339816182, -0.3905508444663496, 0.6533115782621851, -0.26699197091026916, -0.48837492293276685, -0.02702714386626916, 0.38113772035867166, 0.30528183615624693, -0.562277831568077, -0.13301802887080058, 0.29811539356975875, -0.052056843620293586, -0.41633154026621816, -0.335996132545642, -0.13696639187504897, 0.11160067221294372, -0.20626838573993814, 0.690698473260641]"
